tau,r,phi,t,E
8.799999999999684e-01,2.084407285529277e+00,3.795124479484292e-01,1.649853217537817e+00,-4.039512112482779e-02
8.999999999999662e-01,2.086169588115090e+00,3.877912996700364e-01,1.686632109695987e+00,-4.036922268256709e-02
9.199999999999640e-01,2.087926043750819e+00,3.960561991807630e-01,1.723382456046358e+00,-4.034368503220794e-02
9.399999999999618e-01,2.089676714710499e+00,4.043072276669799e-01,1.760104442746326e+00,-4.031850264222691e-02
9.599999999999596e-01,2.091421662631753e+00,4.125444653616777e-01,1.796798253604409e+00,-4.029367008759962e-02
9.799999999999573e-01,2.093160948525028e+00,4.207679915582696e-01,1.833464070117654e+00,-4.026918204740836e-02
9.999999999999551e-01,2.094894632782674e+00,4.289778846241447e-01,1.870102071508315e+00,-4.024503330251097e-02
1.019999999999953e+00,2.096622775187839e+00,4.371742220139732e-01,1.906712434759778e+00,-4.022121873327125e-02
1.039999999999951e+00,2.098345434923219e+00,4.453570802827733e-01,1.943295334651794e+00,-4.019773331734643e-02
1.059999999999949e+00,2.100062670579635e+00,4.535265350987410e-01,1.979850943795000e+00,-4.017457212753275e-02
1.079999999999946e+00,2.101774540164453e+00,4.616826612558501e-01,2.016379432664761e+00,-4.015173032966562e-02
1.099999999999944e+00,2.103481101109872e+00,4.698255326862275e-01,2.052880969634359e+00,-4.012920318057314e-02
1.119999999999942e+00,2.105182410281033e+00,4.779552224723089e-01,2.089355721007516e+00,-4.010698602608220e-02
1.139999999999940e+00,2.106878523984004e+00,4.860718028587768e-01,2.125803851050307e+00,-4.008507429907459e-02
1.159999999999938e+00,2.108569497973613e+00,4.941753452642905e-01,2.162225522022432e+00,-4.006346351759218e-02
1.179999999999935e+00,2.110255387461141e+00,5.022659202930079e-01,2.198620894207899e+00,-4.004214928299043e-02
1.199999999999933e+00,2.111936247121889e+00,5.103435977459064e-01,2.234990125945118e+00,-4.002112727813680e-02
1.219999999999931e+00,2.113612131102583e+00,5.184084466319060e-01,2.271333373656410e+00,-4.000039326565571e-02
1.239999999999929e+00,2.115283093028685e+00,5.264605351787995e-01,2.307650791876966e+00,-3.997994308621593e-02
1.259999999999927e+00,2.116949186011547e+00,5.344999308439924e-01,2.343942533283244e+00,-3.995977265686101e-02
1.279999999999924e+00,2.118610462655454e+00,5.425267003250589e-01,2.380208748720841e+00,-3.993987796938078e-02
1.299999999999922e+00,2.120266975064536e+00,5.505409095701156e-01,2.416449587231829e+00,-3.992025508872301e-02
1.319999999999920e+00,2.121918774849564e+00,5.585426237880190e-01,2.452665196081603e+00,-3.990090015144387e-02
1.339999999999918e+00,2.123565913134629e+00,5.665319074583890e-01,2.488855720785189e+00,-3.988180936419668e-02
1.359999999999915e+00,2.125208440563698e+00,5.745088243414586e-01,2.525021305133101e+00,-3.986297900225668e-02
1.379999999999913e+00,2.126846407307068e+00,5.824734374877630e-01,2.561162091216701e+00,-3.984440540808248e-02
1.399999999999911e+00,2.128479863067695e+00,5.904258092476611e-01,2.597278219453093e+00,-3.982608498991182e-02
1.419999999999909e+00,2.130108857087432e+00,5.983660012806994e-01,2.633369828609562e+00,-3.980801422039126e-02
1.439999999999907e+00,2.131733438153141e+00,6.062940745648181e-01,2.669437055827568e+00,-3.979018963523880e-02
1.459999999999904e+00,2.133353654602720e+00,6.142100894054048e-01,2.705480036646303e+00,-3.977260783193839e-02
1.479999999999902e+00,2.134969554331010e+00,6.221141054441962e-01,2.741498905025820e+00,-3.975526546846627e-02
1.499999999999900e+00,2.136581184795618e+00,6.300061816680347e-01,2.777493793369736e+00,-3.973815926204626e-02
1.519999999999898e+00,2.138188593022626e+00,6.378863764174812e-01,2.813464832547544e+00,-3.972128598793611e-02
1.539999999999896e+00,2.139791825612221e+00,6.457547473952840e-01,2.849412151916516e+00,-3.970464247824117e-02
1.559999999999893e+00,2.141390928744215e+00,6.536113516747113e-01,2.885335879343213e+00,-3.968822562075707e-02
1.579999999999891e+00,2.142985948183484e+00,6.614562457077479e-01,2.921236141224612e+00,-3.967203235783858e-02
1.599999999999889e+00,2.144576929285313e+00,6.692894853331582e-01,2.957113062508866e+00,-3.965605968529586e-02
1.619999999999887e+00,2.146163917000646e+00,6.771111257844192e-01,2.992966766715698e+00,-3.964030465131562e-02
1.639999999999885e+00,2.147746955881256e+00,6.849212216975251e-01,3.028797375956423e+00,-3.962476435540795e-02
1.659999999999882e+00,2.149326090084836e+00,6.927198271186708e-01,3.064605010953640e+00,-3.960943594737711e-02
1.679999999999880e+00,2.150901363379991e+00,7.005069955118045e-01,3.100389791060570e+00,-3.959431662631626e-02
