tau,r,phi,t
0.0000000000e+00,1.3000000000e+00,0.0000000000e+00,0.0000000000e+00
9.9999900001e-04,1.2991227949e+00,0.0000000000e+00,4.3382116028e-03
1.9999979999e-03,1.2982452935e+00,0.0000000000e+00,8.6862288719e-03
2.9999969998e-03,1.2973674954e+00,0.0000000000e+00,1.3044112926e-02
3.9999959998e-03,1.2964894003e+00,0.0000000000e+00,1.7411925460e-02
4.9999950001e-03,1.2956110077e+00,0.0000000000e+00,2.1789728752e-02
5.9999940005e-03,1.2947323173e+00,0.0000000000e+00,2.6177585671e-02
6.9999930008e-03,1.2938533286e+00,0.0000000000e+00,3.0575559685e-02
7.9999920010e-03,1.2929740412e+00,0.0000000000e+00,3.4983714865e-02
8.9999910004e-03,1.2920944547e+00,0.0000000000e+00,3.9402115898e-02
9.9999899999e-03,1.2912145688e+00,0.0000000000e+00,4.3830828093e-02
1.0999988999e-02,1.2903343829e+00,0.0000000000e+00,4.8269917387e-02
1.1999987999e-02,1.2894538968e+00,0.0000000000e+00,5.2719450354e-02
1.2999986998e-02,1.2885731099e+00,0.0000000000e+00,5.7179494216e-02
1.3999985998e-02,1.2876920219e+00,0.0000000000e+00,6.1650116848e-02
1.4999984997e-02,1.2868106323e+00,0.0000000000e+00,6.6131386786e-02
1.5999983997e-02,1.2859289409e+00,0.0000000000e+00,7.0623373240e-02
1.6999982996e-02,1.2850469470e+00,0.0000000000e+00,7.5126146099e-02
1.7999981996e-02,1.2841646503e+00,0.0000000000e+00,7.9639775941e-02
1.8999980995e-02,1.2832820505e+00,0.0000000000e+00,8.4164334044e-02
1.9999979995e-02,1.2823991470e+00,0.0000000000e+00,8.8699892390e-02
2.0999978994e-02,1.2815159395e+00,0.0000000000e+00,9.3246523681e-02
2.1999977994e-02,1.2806324276e+00,0.0000000000e+00,9.7804301345e-02
2.2999976993e-02,1.2797486108e+00,0.0000000000e+00,1.0237329954e-01
2.3999975993e-02,1.2788644886e+00,0.0000000000e+00,1.0695359319e-01
2.4999974992e-02,1.2779800608e+00,0.0000000000e+00,1.1154525794e-01
2.5999973991e-02,1.2770953268e+00,0.0000000000e+00,1.1614837024e-01
2.6999972991e-02,1.2762102863e+00,0.0000000000e+00,1.2076300729e-01
2.7999971990e-02,1.2753249387e+00,0.0000000000e+00,1.2538924708e-01
2.8999970990e-02,1.2744392838e+00,0.0000000000e+00,1.3002716841e-01
2.9999969989e-02,1.2735533210e+00,0.0000000000e+00,1.3467685089e-01
3.0999968989e-02,1.2726670499e+00,0.0000000000e+00,1.3933837493e-01
3.1999967988e-02,1.2717804702e+00,0.0000000000e+00,1.4401182179e-01
3.2999966988e-02,1.2708935813e+00,0.0000000000e+00,1.4869727357e-01
3.3999965987e-02,1.2700063828e+00,0.0000000000e+00,1.5339481322e-01
3.4999964987e-02,1.2691188743e+00,0.0000000000e+00,1.5810452455e-01
3.5999963986e-02,1.2682310554e+00,0.0000000000e+00,1.6282649226e-01
3.6999962986e-02,1.2673429257e+00,0.0000000000e+00,1.6756080195e-01
3.7999961985e-02,1.2664544846e+00,0.0000000000e+00,1.7230754009e-01
3.8999960985e-02,1.2655657318e+00,0.0000000000e+00,1.7706679410e-01
3.9999959984e-02,1.2646766669e+00,0.0000000000e+00,1.8183865232e-01
4.0999958984e-02,1.2637872893e+00,0.0000000000e+00,1.8662320402e-01
4.1999957983e-02,1.2628975986e+00,0.0000000000e+00,1.9142053943e-01
4.2999956983e-02,1.2620075945e+00,0.0000000000e+00,1.9623074977e-01
4.3999955982e-02,1.2611172764e+00,0.0000000000e+00,2.0105392721e-01
4.4999954981e-02,1.2602266439e+00,0.0000000000e+00,2.0589016496e-01
4.5999953981e-02,1.2593356966e+00,0.0000000000e+00,2.1073955719e-01
4.6999952980e-02,1.2584444341e+00,0.0000000000e+00,2.1560219914e-01
4.7999951980e-02,1.2575528558e+00,0.0000000000e+00,2.2047818708e-01
4.8999950979e-02,1.2566609613e+00,0.0000000000e+00,2.2536761832e-01
4.9999949979e-02,1.2557687503e+00,0.0000000000e+00,2.3027059127e-01
5.0999948978e-02,1.2548762221e+00,0.0000000000e+00,2.3518720541e-01
5.1999947978e-02,1.2539833765e+00,0.0000000000e+00,2.4011756133e-01
5.2999946977e-02,1.2530902129e+00,0.0000000000e+00,2.4506176074e-01
5.3999945977e-02,1.2521967308e+00,0.0000000000e+00,2.5001990649e-01
5.4999944976e-02,1.2513029299e+00,0.0000000000e+00,2.5499210258e-01
5.5999943976e-02,1.2504088097e+00,0.0000000000e+00,2.5997845420e-01
5.6999942975e-02,1.2495143696e+00,0.0000000000e+00,2.6497906770e-01
5.7999941975e-02,1.2486196093e+00,0.0000000000e+00,2.6999405066e-01
5.8999940974e-02,1.2477245283e+00,0.0000000000e+00,2.7502351188e-01
5.9999939974e-02,1.2468291262e+00,0.0000000000e+00,2.8006756141e-01
6.0999938973e-02,1.2459334024e+00,0.0000000000e+00,2.8512631056e-01
6.1999937973e-02,1.2450373565e+00,0.0000000000e+00,2.9019987192e-01
6.2999936972e-02,1.2441409880e+00,0.0000000000e+00,2.9528835938e-01
6.3999935971e-02,1.2432442966e+00,0.0000000000e+00,3.0039188818e-01
6.4999934971e-02,1.2423472816e+00,0.0000000000e+00,3.0551057486e-01
6.5999933970e-02,1.2414499427e+00,0.0000000000e+00,3.1064453737e-01
6.6999932970e-02,1.2405522794e+00,0.0000000000e+00,3.1579389501e-01
6.7999931969e-02,1.2396542912e+00,0.0000000000e+00,3.2095876852e-01
6.8999930969e-02,1.2387559776e+00,0.0000000000e+00,3.2613928006e-01
6.9999929968e-02,1.2378573382e+00,0.0000000000e+00,3.3133555322e-01
7.0999928968e-02,1.2369583724e+00,0.0000000000e+00,3.3654771309e-01
7.1999927967e-02,1.2360590799e+00,0.0000000000e+00,3.4177588628e-01
7.2999926967e-02,1.2351594602e+00,0.0000000000e+00,3.4702020087e-01
7.3999925966e-02,1.2342595127e+00,0.0000000000e+00,3.5228078654e-01
7.4999924966e-02,1.2333592369e+00,0.0000000000e+00,3.5755777451e-01
7.5999923965e-02,1.2324586325e+00,0.0000000000e+00,3.6285129763e-01
7.6999922965e-02,1.2315576990e+00,0.0000000000e+00,3.6816149035e-01
7.7999921964e-02,1.2306564357e+00,0.0000000000e+00,3.7348848878e-01
7.8999920964e-02,1.2297548423e+00,0.0000000000e+00,3.7883243071e-01
7.9999919963e-02,1.2288529184e+00,0.0000000000e+00,3.8419345564e-01
