tau,r,phi,t,E
0.000000000000000e+00,3.289867202105785e+01,0.000000000000000e+00,0.000000000000000e+00,-4.000000000000000e-03
9.999999999999897e+00,3.290919233400861e+01,4.618704489944941e-02,1.027212135108847e+01,-4.002187796574257e-03
2.000000000000146e+01,3.294048621107294e+01,9.231544190934587e-02,2.054403820259900e+01,-4.008674733165511e-03
3.000000000001368e+01,3.299245384073171e+01,1.383273899092897e-01,3.081554864620890e+01,-4.019378302306920e-03
3.999999999999748e+01,3.306493046410419e+01,1.841661113492814e-01,4.108645363519287e+01,-4.034163586121594e-03
4.999999999997417e+01,3.315768834929158e+01,2.297763339142319e-01,5.135655834171816e+01,-4.052846716156475e-03
5.999999999995087e+01,3.327043947864825e+01,2.751047391841218e-01,6.162567343386085e+01,-4.075199493830646e-03
6.999999999997019e+01,3.340283887839146e+01,3.201003694506201e-01,7.189361625031978e+01,-4.100954970299196e-03
8.000000000001793e+01,3.355448850561644e+01,3.647149855009238e-01,8.216021185445391e+01,-4.129813751580589e-03
9.000000000006568e+01,3.372494159718682e+01,4.089033700339508e-01,9.242529395339064e+01,-4.161450776779150e-03
1.000000000001134e+02,3.391370737840093e+01,4.526235733237763e-01,1.026887056723712e+02,-4.195522314299783e-03
1.100000000001612e+02,3.412025602675596e+01,4.958370996840458e-01,1.129503001788928e+02,-4.231672931999730e-03
1.200000000002089e+02,3.434402378737455e+01,5.385090351187078e-01,1.232099411555355e+02,-4.269542220167507e-03
1.300000000002567e+02,3.458441814127823e+01,5.806081181894712e-01,1.334675031242310e+02,-4.308771078267857e-03
1.400000000003044e+02,3.484082293513343e+01,6.221067575298069e-01,1.437228716282199e+02,-4.349007414408929e-03
1.500000000003522e+02,3.511260339074789e+01,6.629810005519426e-01,1.539759432808016e+02,-4.389911147327648e-03
1.600000000003999e+02,3.539911092376546e+01,7.032104587121329e-01,1.642266256922318e+02,-4.431158441460525e-03
1.700000000004477e+02,3.569968771302945e+01,7.427781952235993e-01,1.744748372877287e+02,-4.472445143950518e-03
1.800000000004954e+02,3.601367097438763e+01,7.816705813565681e-01,1.847205070305620e+02,-4.513489426411636e-03
1.900000000005432e+02,3.634039690475775e+01,8.198771274714132e-01,1.949635740646375e+02,-4.554033662727311e-03
2.000000000005909e+02,3.667920427361858e+01,8.573902947332140e-01,2.052039872909061e+02,-4.593845596492507e-03
2.100000000006387e+02,3.702943764947017e+01,8.942052930970639e-01,2.154417048915068e+02,-4.632718867850352e-03
2.200000000006864e+02,3.739045025795652e+01,9.303198706751510e-01,2.256766938147269e+02,-4.670472979750978e-03
2.300000000007342e+02,3.776160647616892e+01,9.657340990401998e-01,2.359089292328568e+02,-4.706952788708238e-03
2.400000000007819e+02,3.814228397410975e+01,1.000450158420594e+00,2.461383939838038e+02,-4.742027605763083e-03
2.500000000008297e+02,3.853187551941632e+01,1.034472126131788e+00,2.563650780060815e+02,-4.775589990473048e-03
2.600000000007637e+02,3.892979046529420e+01,1.067805770990397e+00,2.665889777754332e+02,-4.807554315228391e-03
2.700000000005272e+02,3.933545594433114e+01,1.100458355891220e+00,2.768100957501014e+02,-4.837855169880934e-03
2.800000000002908e+02,3.974831779255077e+01,1.132438450205834e+00,2.870284398304890e+02,-4.866445668289159e-03
2.900000000000543e+02,4.016784122890865e+01,1.163755753193841e+00,2.972440228378230e+02,-4.893295709547158e-03
2.999999999998178e+02,4.059351131553137e+01,1.194420929207215e+00,3.074568620153131e+02,-4.918390237855423e-03
3.099999999995813e+02,4.102483322354001e+01,1.224445455117135e+00,3.176669785545012e+02,-4.941727536573181e-03
3.199999999993449e+02,4.146133232838564e+01,1.253841480098142e+00,3.278743971485086e+02,-4.963317584213480e-03
3.299999999991084e+02,4.190255415737123e+01,1.282621697664187e+00,3.380791455732383e+02,-4.983180493159915e-03
3.399999999988719e+02,4.234806421054770e+01,1.310799229660114e+00,3.482812542970798e+02,-5.001345045777070e-03
3.499999999986355e+02,4.279744767456720e+01,1.338387521764881e+00,3.584807561189946e+02,-5.017847337375281e-03
3.599999999983990e+02,4.325030904735944e+01,1.365400249954801e+00,3.686776858345879e+02,-5.032729531145377e-03
3.699999999981625e+02,4.370627168978665e+01,1.391851237299376e+00,3.788720799294401e+02,-5.046038726648013e-03
3.799999999979261e+02,4.416497731875390e+01,1.417754380414862e+00,3.890639762986247e+02,-5.057825940647908e-03
3.899999999976896e+02,4.462608545460821e+01,1.443123584876014e+00,3.992534139913355e+02,-5.068145196940021e-03
3.999999999974531e+02,4.508927283413283e+01,1.467972708880034e+00,4.094404329792117e+02,-5.077052720235248e-03
4.099999999972167e+02,4.555423279899170e+01,1.492315514465159e+00,4.196250739470509e+02,-5.084606228069222e-03
4.199999999969802e+02,4.602067466814727e+01,1.516165625605808e+00,4.298073781044795e+02,-5.090864313988358e-03
4.299999999967437e+02,4.648832310156529e+01,1.539536492533319e+00,4.399873870170846e+02,-5.095885914877826e-03
4.399999999965073e+02,4.695691746140862e+01,1.562441361665667e+00,4.501651424556678e+02,-5.099729855159866e-03
4.499999999962708e+02,4.742621117593904e+01,1.584893250565659e+00,4.603406862621577e+02,-5.102454460651078e-03
4.599999999960343e+02,4.789597111046447e+01,1.606904927387477e+00,4.705140602309047e+02,-5.104117235074359e-03
4.699999999957979e+02,4.836597694888535e+01,1.628488894311243e+00,4.806853060039987e+02,-5.104774592534375e-03
4.799999999955614e+02,4.883602058871762e+01,1.649657374505378e+00,4.908544649794612e+02,-5.104481639651219e-03
4.899999999953249e+02,4.930590555186176e+01,1.670422302196537e+00,5.010215782311270e+02,-5.103292001477883e-03
4.999999999950884e+02,4.977544641288333e+01,1.690795315463761e+00,5.111866864391311e+02,-5.101257685782143e-03
5.099999999948520e+02,5.024446824611385e+01,1.710787751410512e+00,5.213498298300095e+02,-5.098428980735600e-03
5.199999999946156e+02,5.071280609250822e+01,1.730410643401637e+00,5.315110481254812e+02,-5.094854381509445e-03
5.299999999943791e+02,5.118030444686251e+01,1.749674720084590e+00,5.416703804990307e+02,-5.090580541718952e-03
5.399999999941426e+02,5.164681676573817e+01,1.768590405942883e+00,5.518278655395579e+02,-5.085652246079885e-03
5.499999999939062e+02,5.211220499619674e+01,1.787167823157857e+00,5.619835412212606e+02,-5.080112401036257e-03
5.599999999936697e+02,5.257633912526540e+01,1.805416794578952e+00,5.721374448791383e+02,-5.074002040487092e-03
5.699999999934332e+02,5.303909674990815e+01,1.823346847625808e+00,5.822896131896016e+02,-5.067360344079009e-03
5.799999999931968e+02,5.350036266713499e+01,1.840967218965754e+00,5.924400821554028e+02,-5.060224665841676e-03
5.899999999929603e+02,5.396002848380392e+01,1.858286859829304e+00,6.025888870946295e+02,-5.052630571224249e-03
5.999999999927238e+02,5.441799224557278e+01,1.875314441842471e+00,6.127360626331505e+02,-5.044611880844892e-03
6.099999999924873e+02,5.487415808441244e+01,1.892058363270547e+00,6.228816427001403e+02,-5.036200719492945e-03
6.199999999922509e+02,5.532843588404697e+01,1.908526755580646e+00,6.330256605263386e+02,-5.027427569126338e-03
6.299999999920144e+02,5.578074096265249e+01,1.924727490243080e+00,6.431681486446608e+02,-5.018321324787374e-03
6.399999999917779e+02,5.623099377213258e+01,1.940668185702057e+00,6.533091388928700e+02,-5.008909352519502e-03
6.499999999915415e+02,5.667911961327540e+01,1.956356214455565e+00,6.634486624180724e+02,-4.999217548508264e-03
6.599999999913050e+02,5.712504836610269e+01,1.971798710193213e+00,6.735867496827374e+02,-4.989270398792838e-03
6.699999999910685e+02,5.756871423471147e+01,1.987002574947914e+00,6.837234304721090e+02,-4.979091039002717e-03
6.799999999908321e+02,5.801005550593467e+01,2.001974486223983e+00,6.938587339026451e+02,-4.968701313667642e-03
6.899999999905956e+02,5.844901432115335e+01,2.016720904070145e+00,7.039926884315400e+02,-4.958121834730543e-03
6.999999999903591e+02,5.888553646060586e+01,2.031248078071002e+00,7.141253218670031e+02,-4.947372038963891e-03
7.099999999901227e+02,5.931957113956470e+01,2.045562054234715e+00,7.242566613791577e+02,-4.936470244050348e-03
7.199999999898862e+02,5.975107081577470e+01,2.059668681759151e+00,7.343867335116036e+02,-4.925433703140700e-03
7.299999999896497e+02,6.017999100755538e+01,2.073573619661716e+00,7.445155641933093e+02,-4.914278657746926e-03
7.399999999894133e+02,6.060629012201360e+01,2.087282343260851e+00,7.546431787508812e+02,-4.903020388865522e-03
