tau,r,phi,t
7.9000000014e+01,1.6348469228e+01,8.8673562681e-01,8.2894324477e+01
8.0000000014e+01,1.6348469228e+01,8.9796012842e-01,8.3943619724e+01
8.1000000015e+01,1.6348469228e+01,9.0918463002e-01,8.4992914971e+01
8.2000000015e+01,1.6348469228e+01,9.2040913163e-01,8.6042210218e+01
8.3000000015e+01,1.6348469228e+01,9.3163363324e-01,8.7091505464e+01
8.4000000015e+01,1.6348469228e+01,9.4285813484e-01,8.8140800711e+01
8.5000000016e+01,1.6348469228e+01,9.5408263645e-01,8.9190095958e+01
8.6000000016e+01,1.6348469228e+01,9.6530713805e-01,9.0239391205e+01
8.7000000016e+01,1.6348469228e+01,9.7653163966e-01,9.1288686452e+01
8.8000000017e+01,1.6348469228e+01,9.8775614127e-01,9.2337981699e+01
8.9000000017e+01,1.6348469228e+01,9.9898064287e-01,9.3387276946e+01
9.0000000017e+01,1.6348469228e+01,1.0102051445e+00,9.4436572193e+01
9.1000000018e+01,1.6348469228e+01,1.0214296461e+00,9.5485867440e+01
9.2000000018e+01,1.6348469228e+01,1.0326541477e+00,9.6535162687e+01
9.3000000018e+01,1.6348469228e+01,1.0438786493e+00,9.7584457934e+01
9.4000000019e+01,1.6348469228e+01,1.0551031508e+00,9.8633753181e+01
9.5000000019e+01,1.6348469228e+01,1.0663276524e+00,9.9683048428e+01
9.6000000019e+01,1.6348469228e+01,1.0775521540e+00,1.0073234367e+02
9.7000000020e+01,1.6348469228e+01,1.0887766556e+00,1.0178163892e+02
9.8000000020e+01,1.6348469228e+01,1.1000011572e+00,1.0283093417e+02
9.9000000020e+01,1.6348469228e+01,1.1112256588e+00,1.0388022942e+02
1.0000000002e+02,1.6348469228e+01,1.1224501604e+00,1.0492952466e+02
1.0100000002e+02,1.6348469228e+01,1.1336746620e+00,1.0597881991e+02
1.0200000002e+02,1.6348469228e+01,1.1448991636e+00,1.0702811516e+02
1.0300000002e+02,1.6348469228e+01,1.1561236652e+00,1.0807741040e+02
1.0400000002e+02,1.6348469228e+01,1.1673481668e+00,1.0912670565e+02
1.0500000002e+02,1.6348469228e+01,1.1785726684e+00,1.1017600090e+02
1.0600000002e+02,1.6348469228e+01,1.1897971700e+00,1.1122529614e+02
1.0700000002e+02,1.6348469228e+01,1.2010216716e+00,1.1227459139e+02
1.0800000002e+02,1.6348469228e+01,1.2122461732e+00,1.1332388664e+02
1.0900000002e+02,1.6348469228e+01,1.2234706748e+00,1.1437318189e+02
1.1000000002e+02,1.6348469228e+01,1.2346951764e+00,1.1542247713e+02
1.1100000002e+02,1.6348469228e+01,1.2459196780e+00,1.1647177238e+02
1.1200000002e+02,1.6348469228e+01,1.2571441796e+00,1.1752106763e+02
1.1300000002e+02,1.6348469228e+01,1.2683686811e+00,1.1857036287e+02
