tau,r,phi,t
0.0000000000e+00,1.0000000000e+01,0.0000000000e+00,0.0000000000e+00
2.0000000000e-02,9.9974809502e+00,4.0010078311e-04,2.1681039632e-02
4.0000000000e-02,9.9949612603e+00,8.0040326823e-04,4.3362686513e-02
6.0000000000e-02,9.9924409303e+00,1.2009076592e-03,6.5044941138e-02
8.0000000000e-02,9.9899199602e+00,1.6016141602e-03,8.6727804001e-02
1.0000000000e-01,9.9873983500e+00,2.0025229756e-03,1.0841127560e-01
1.2000000000e-01,9.9848760995e+00,2.4036343101e-03,1.3009535643e-01
1.4000000000e-01,9.9823532088e+00,2.8049483687e-03,1.5178004698e-01
1.6000000000e-01,9.9798296779e+00,3.2064653566e-03,1.7346534776e-01
1.8000000000e-01,9.9773055066e+00,3.6081854794e-03,1.9515125926e-01
2.0000000000e-01,9.9747806950e+00,4.0101089427e-03,2.1683778199e-01
2.2000000000e-01,9.9722552429e+00,4.4122359527e-03,2.3852491643e-01
2.4000000000e-01,9.9697291505e+00,4.8145667157e-03,2.6021266310e-01
2.6000000000e-01,9.9672024175e+00,5.2171014384e-03,2.8190102248e-01
2.8000000000e-01,9.9646750441e+00,5.6198403277e-03,3.0358999509e-01
3.0000000000e-01,9.9621470301e+00,6.0227835906e-03,3.2527958141e-01
3.2000000000e-01,9.9596183755e+00,6.4259314348e-03,3.4696978197e-01
3.4000000000e-01,9.9570890802e+00,6.8292840679e-03,3.6866059724e-01
3.6000000000e-01,9.9545591444e+00,7.2328416979e-03,3.9035202775e-01
3.8000000000e-01,9.9520285678e+00,7.6366045331e-03,4.1204407399e-01
4.0000000000e-01,9.9494973505e+00,8.0405727822e-03,4.3373673647e-01
4.2000000000e-01,9.9469654924e+00,8.4447466539e-03,4.5543001569e-01
4.4000000000e-01,9.9444329934e+00,8.8491263575e-03,4.7712391216e-01
4.6000000000e-01,9.9418998537e+00,9.2537121023e-03,4.9881842639e-01
4.8000000000e-01,9.9393660730e+00,9.6585040981e-03,5.2051355887e-01
5.0000000000e-01,9.9368316514e+00,1.0063502555e-02,5.4220931012e-01
5.2000000000e-01,9.9342965889e+00,1.0468707683e-02,5.6390568064e-01
5.4000000000e-01,9.9317608853e+00,1.0874119693e-02,5.8560267095e-01
5.6000000000e-01,9.9292245408e+00,1.1279738795e-02,6.0730028154e-01
5.8000000000e-01,9.9266875551e+00,1.1685565201e-02,6.2899851294e-01
6.0000000000e-01,9.9241499284e+00,1.2091599122e-02,6.5069736565e-01
6.2000000000e-01,9.9216116605e+00,1.2497840770e-02,6.7239684018e-01
6.4000000000e-01,9.9190727514e+00,1.2904290357e-02,6.9409693704e-01
6.6000000000e-01,9.9165332011e+00,1.3310948096e-02,7.1579765675e-01
6.8000000000e-01,9.9139930096e+00,1.3717814198e-02,7.3749899981e-01
7.0000000000e-01,9.9114521767e+00,1.4124888876e-02,7.5920096674e-01
7.2000000000e-01,9.9089107026e+00,1.4532172344e-02,7.8090355806e-01
7.4000000000e-01,9.9063685871e+00,1.4939664815e-02,8.0260677427e-01
7.6000000000e-01,9.9038258302e+00,1.5347366503e-02,8.2431061589e-01
7.8000000000e-01,9.9012824319e+00,1.5755277622e-02,8.4601508343e-01
8.0000000000e-01,9.8987383921e+00,1.6163398387e-02,8.6772017742e-01
8.2000000000e-01,9.8961937108e+00,1.6571729010e-02,8.8942589836e-01
8.4000000000e-01,9.8936483880e+00,1.6980269709e-02,9.1113224678e-01
8.6000000000e-01,9.8911024237e+00,1.7389020697e-02,9.3283922320e-01
8.8000000000e-01,9.8885558177e+00,1.7797982191e-02,9.5454682812e-01
9.0000000000e-01,9.8860085701e+00,1.8207154405e-02,9.7625506207e-01
9.2000000000e-01,9.8834606809e+00,1.8616537557e-02,9.9796392557e-01
9.4000000000e-01,9.8809121499e+00,1.9026131862e-02,1.0196734191e+00
9.6000000000e-01,9.8783629773e+00,1.9435937537e-02,1.0413835433e+00
9.8000000000e-01,9.8758131628e+00,1.9845954800e-02,1.0630942986e+00
1.0000000000e+00,9.8732627066e+00,2.0256183866e-02,1.0848056855e+00
1.0200000000e+00,9.8707116085e+00,2.0666624954e-02,1.1065177045e+00
1.0400000000e+00,9.8681598686e+00,2.1077278282e-02,1.1282303562e+00
1.0600000000e+00,9.8656074868e+00,2.1488144068e-02,1.1499436412e+00
1.0800000000e+00,9.8630544631e+00,2.1899222530e-02,1.1716575598e+00
1.1000000000e+00,9.8605007974e+00,2.2310513886e-02,1.1933721127e+00
1.1200000000e+00,9.8579464897e+00,2.2722018357e-02,1.2150873004e+00
1.1400000000e+00,9.8553915400e+00,2.3133736160e-02,1.2368031233e+00
1.1600000000e+00,9.8528359482e+00,2.3545667517e-02,1.2585195821e+00
1.1800000000e+00,9.8502797144e+00,2.3957812646e-02,1.2802366773e+00
1.2000000000e+00,9.8477228384e+00,2.4370171768e-02,1.3019544093e+00
1.2200000000e+00,9.8451653203e+00,2.4782745104e-02,1.3236727787e+00
1.2400000000e+00,9.8426071600e+00,2.5195532874e-02,1.3453917861e+00
