tau,r,phi,t
0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e-01,1.1602120617e+00,3.2445316019e-01,inf
4.0000000000e-01,1.2760918622e+00,5.8000326347e-01,inf
6.0000000000e-01,1.3667790736e+00,7.9733197087e-01,inf
8.0000000000e-01,1.4409557244e+00,9.8996434133e-01,inf
1.0000000000e+00,1.5033803750e+00,1.1651786099e+00,inf
1.2000000000e+00,1.5569737100e+00,1.3273849053e+00,inf
1.4000000000e+00,1.6036702588e+00,1.4794768065e+00,inf
1.6000000000e+00,1.6448238603e+00,1.6234648683e+00,inf
1.8000000000e+00,1.6814223372e+00,1.7608079917e+00,inf
2.0000000000e+00,1.7142104565e+00,1.8926013662e+00,inf
2.2000000000e+00,1.7437647721e+00,2.0196899395e+00,inf
2.4000000000e+00,1.7705414430e+00,2.1427404226e+00,inf
2.6000000000e+00,1.7949080229e+00,2.2622888817e+00,inf
2.8000000000e+00,1.8171653028e+00,2.3787732783e+00,inf
3.0000000000e+00,1.8375627475e+00,2.4925563666e+00,inf
3.2000000000e+00,1.8563096694e+00,2.6039422074e+00,inf
3.4000000000e+00,1.8735834885e+00,2.7131883355e+00,inf
3.6000000000e+00,1.8895359498e+00,2.8205148943e+00,inf
3.8000000000e+00,1.9042978820e+00,2.9261116077e+00,inf
4.0000000000e+00,1.9179828902e+00,3.0301431812e+00,inf
4.2000000000e+00,1.9306902604e+00,3.1327535400e+00,inf
4.4000000000e+00,1.9425072704e+00,3.2340691970e+00,inf
4.6000000000e+00,1.9535110477e+00,3.3342019557e+00,inf
4.8000000000e+00,1.9637700779e+00,3.4332511026e+00,inf
5.0000000000e+00,1.9733454405e+00,3.5313052007e+00,inf
5.2000000000e+00,1.9822918288e+00,3.6284435691e+00,inf
5.4000000000e+00,1.9906583988e+00,3.7247375133e+00,inf
5.6000000000e+00,1.9984894804e+00,3.8202513545e+00,inf
5.8000000000e+00,2.0058251762e+00,3.9150432971e+00,inf
6.0000000000e+00,2.0127018707e+00,4.0091661646e+00,inf
6.2000000000e+00,2.0191526631e+00,4.1026680263e+00,inf
6.4000000000e+00,2.0252077396e+00,4.1955927348e+00,inf
6.6000000000e+00,2.0308946934e+00,4.2879803891e+00,inf
6.8000000000e+00,2.0362388019e+00,4.3798677345e+00,inf
7.0000000000e+00,2.0412632676e+00,4.4712885117e+00,inf
7.2000000000e+00,2.0459894285e+00,4.5622737598e+00,inf
7.4000000000e+00,2.0504369420e+00,4.6528520829e+00,inf
7.6000000000e+00,2.0546239472e+00,4.7430498841e+00,inf
7.8000000000e+00,2.0585672078e+00,4.8328915720e+00,inf
8.0000000000e+00,2.0622822386e+00,4.9223997438e+00,inf
8.2000000000e+00,2.0657834178e+00,5.0115953474e+00,inf
8.4000000000e+00,2.0690840869e+00,5.1004978265e+00,inf
8.6000000000e+00,2.0721966406e+00,5.1891252495e+00,inf
8.8000000000e+00,2.0751326064e+00,5.2774944255e+00,inf
9.0000000000e+00,2.0779027165e+00,5.3656210080e+00,inf
9.2000000000e+00,2.0805169726e+00,5.4535195889e+00,inf
9.4000000000e+00,2.0829847044e+00,5.5412037827e+00,inf
9.6000000000e+00,2.0853146218e+00,5.6286863029e+00,inf
9.8000000000e+00,2.0875148634e+00,5.7159790314e+00,inf
1.0000000000e+01,2.0895930393e+00,5.8030930810e+00,inf
1.0200000000e+01,2.0915562707e+00,5.8900388532e+00,inf
1.0400000000e+01,2.0934112263e+00,5.9768260898e+00,inf
1.0600000000e+01,2.0951641545e+00,6.0634639205e+00,inf
1.0800000000e+01,2.0968209137e+00,6.1499609071e+00,inf
1.1000000000e+01,2.0983870001e+00,6.2363250828e+00,inf
1.1200000000e+01,2.0998675723e+00,6.3225639890e+00,inf
1.1400000000e+01,2.1012674750e+00,6.4086847090e+00,inf
1.1600000000e+01,2.1025912601e+00,6.4946938990e+00,inf
1.1800000000e+01,2.1038432063e+00,6.5805978166e+00,inf
1.2000000000e+01,2.1050273376e+00,6.6664023474e+00,inf
1.2200000000e+01,2.1061474393e+00,6.7521130287e+00,inf
1.2400000000e+01,2.1072070745e+00,6.8377350728e+00,inf
1.2600000000e+01,2.1082095973e+00,6.9232733874e+00,inf
1.2800000000e+01,2.1091581671e+00,7.0087325951e+00,inf
1.3000000000e+01,2.1100557602e+00,7.0941170510e+00,inf
1.3200000000e+01,2.1109051817e+00,7.1794308601e+00,inf
1.3400000000e+01,2.1117090759e+00,7.2646778921e+00,inf
1.3600000000e+01,2.1124699363e+00,7.3498617960e+00,inf
1.3800000000e+01,2.1131901148e+00,7.4349860138e+00,inf
1.4000000000e+01,2.1138718303e+00,7.5200537928e+00,inf
1.4200000000e+01,2.1145171766e+00,7.6050681973e+00,inf
1.4400000000e+01,2.1151281302e+00,7.6900321197e+00,inf
1.4600000000e+01,2.1157065570e+00,7.7749482904e+00,inf
1.4800000000e+01,2.1162542188e+00,7.8598192875e+00,inf
1.5000000000e+01,2.1167727798e+00,7.9446475457e+00,inf
1.5200000000e+01,2.1172638119e+00,8.0294353648e+00,inf
1.5400000000e+01,2.1177288002e+00,8.1141849172e+00,inf
1.5600000000e+01,2.1181691482e+00,8.1988982556e+00,inf
1.5800000000e+01,2.1185861823e+00,8.2835773195e+00,inf
1.6000000000e+01,2.1189811563e+00,8.3682239419e+00,inf
1.6200000000e+01,2.1193552556e+00,8.4528398554e+00,inf
1.6400000000e+01,2.1197096009e+00,8.5374266977e+00,inf
1.6600000000e+01,2.1200452522e+00,8.6219860169e+00,inf
1.6800000000e+01,2.1203632118e+00,8.7065192768e+00,inf
1.7000000000e+01,2.1206644281e+00,8.7910278615e+00,inf
1.7200000000e+01,2.1209497982e+00,8.8755130797e+00,inf
1.7400000000e+01,2.1212201707e+00,8.9599761689e+00,inf
1.7600000000e+01,2.1214763490e+00,9.0444182995e+00,inf
1.7800000000e+01,2.1217190931e+00,9.1288405785e+00,inf
1.8000000000e+01,2.1219491225e+00,9.2132440527e+00,inf
1.8200000000e+01,2.1221671183e+00,9.2976297124e+00,inf
1.8400000000e+01,2.1223737253e+00,9.3819984939e+00,inf
1.8600000000e+01,2.1225695541e+00,9.4663512833e+00,inf
1.8800000000e+01,2.1227551828e+00,9.5506889182e+00,inf
1.9000000000e+01,2.1229311591e+00,9.6350121912e+00,inf
1.9200000000e+01,2.1230980015e+00,9.7193218517e+00,inf
1.9400000000e+01,2.1232562017e+00,9.8036186088e+00,inf
1.9600000000e+01,2.1234062251e+00,9.8879031327e+00,inf
1.9800000000e+01,2.1235485131e+00,9.9721760575e+00,inf
2.0000000000e+01,2.1236834838e+00,1.0056437983e+01,inf
2.0200000000e+01,2.1238115338e+00,1.0140689475e+01,inf
2.0400000000e+01,2.1239330390e+00,1.0224931071e+01,inf
2.0600000000e+01,2.1240483560e+00,1.0309163276e+01,inf
2.0800000000e+01,2.1241578228e+00,1.0393386570e+01,inf
2.1000000000e+01,2.1242617603e+00,1.0477601405e+01,inf
2.1200000000e+01,2.1243604732e+00,1.0561808208e+01,inf
2.1400000000e+01,2.1244542504e+00,1.0646007383e+01,inf
2.1600000000e+01,2.1245433665e+00,1.0730199312e+01,inf
2.1800000000e+01,2.1246280823e+00,1.0814384354e+01,inf
2.2000000000e+01,2.1247086454e+00,1.0898562849e+01,inf
