tau,r,phi,t,E
2.900000000000002e-02,4.987022381154619e+00,0.000000000000000e+00,3.626178391194631e-02,-2.602278043592199e-04
3.000000000000002e-02,4.986574575997410e+00,0.000000000000000e+00,3.751261173933834e-02,-2.692313891626691e-04
3.100000000000002e-02,4.986126750732363e+00,0.000000000000000e+00,3.876346774400984e-02,-2.782369955918185e-04
3.200000000000002e-02,4.985678905355867e+00,0.000000000000000e+00,4.001435193355798e-02,-2.872446243730037e-04
3.300000000000002e-02,4.985231039864307e+00,0.000000000000000e+00,4.126526431558317e-02,-2.962542762330045e-04
3.400000000000002e-02,4.984783154254070e+00,0.000000000000000e+00,4.251620489768900e-02,-3.052659518989059e-04
3.500000000000002e-02,4.984335248521541e+00,0.000000000000000e+00,4.376717368748232e-02,-3.142796520981678e-04
3.600000000000003e-02,4.983887322663102e+00,0.000000000000000e+00,4.501817069257318e-02,-3.232953775585967e-04
3.700000000000003e-02,4.983439376675135e+00,0.000000000000000e+00,4.626919592057484e-02,-3.323131290083881e-04
3.800000000000003e-02,4.982991410554023e+00,0.000000000000000e+00,4.752024937910380e-02,-3.413329071760562e-04
3.900000000000003e-02,4.982543424296145e+00,0.000000000000000e+00,4.877133107577980e-02,-3.503547127905182e-04
4.000000000000003e-02,4.982095417897878e+00,0.000000000000000e+00,5.002244101822578e-02,-3.593785465810378e-04
4.100000000000003e-02,4.981647391355602e+00,0.000000000000000e+00,5.127357921406792e-02,-3.684044092772398e-04
4.200000000000003e-02,4.981199344665693e+00,0.000000000000000e+00,5.252474567093565e-02,-3.774323016090680e-04
4.300000000000003e-02,4.980751277824526e+00,0.000000000000000e+00,5.377594039646159e-02,-3.864622243068966e-04
4.400000000000003e-02,4.980303190828475e+00,0.000000000000000e+00,5.502716339828165e-02,-3.954941781014187e-04
4.500000000000003e-02,4.979855083673914e+00,0.000000000000000e+00,5.627841468403495e-02,-4.045281637236886e-04
4.600000000000003e-02,4.979406956357214e+00,0.000000000000000e+00,5.752969426136383e-02,-4.135641819051489e-04
4.700000000000003e-02,4.978958808874745e+00,0.000000000000000e+00,5.878100213791391e-02,-4.226022333775892e-04
4.800000000000004e-02,4.978510641222879e+00,0.000000000000000e+00,6.003233832133403e-02,-4.316423188731600e-04
4.900000000000004e-02,4.978062453397984e+00,0.000000000000000e+00,6.128370281927627e-02,-4.406844391243447e-04
5.000000000000004e-02,4.977614245396426e+00,0.000000000000000e+00,6.253509563939597e-02,-4.497285948640573e-04
5.100000000000004e-02,4.977166017214572e+00,0.000000000000000e+00,6.378651678935171e-02,-4.587747868255304e-04
5.200000000000004e-02,4.976717768848786e+00,0.000000000000000e+00,6.503796627680535e-02,-4.678230157423580e-04
5.300000000000004e-02,4.976269500295434e+00,0.000000000000000e+00,6.628944410942195e-02,-4.768732823485083e-04
5.400000000000004e-02,4.975821211550877e+00,0.000000000000000e+00,6.754095029486985e-02,-4.859255873783108e-04
