tau,r,phi,t,E
0.000000000000000e+00,2.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-2.367591000000000e-02
2.000000000000001e-01,2.007240784159127e+00,9.465360807789028e-02,3.897038768760214e-01,-2.359090671145648e-02
4.000000000000003e-01,2.014029459457138e+00,1.886481496547189e-01,7.780582532135977e-01,-2.351698881929804e-02
6.000000000000004e-01,2.020398512656802e+00,2.820308074060445e-01,1.165163882529369e+00,-2.345257999005074e-02
8.000000000000006e-01,2.026377585406102e+00,3.748446457507972e-01,1.551112194177630e+00,-2.339635129809226e-02
1.000000000000001e+00,2.031993785222225e+00,4.671290603308847e-01,1.935986381068064e+00,-2.334717815254082e-02
1.199999999999979e+00,2.037271954880656e+00,5.589201673154154e-01,2.319862331764841e+00,-2.330410552347995e-02
1.399999999999957e+00,2.042234906770552e+00,6.502511420473520e-01,2.702809433198462e+00,-2.326631971012536e-02
1.599999999999935e+00,2.046903627594584e+00,7.411525148280539e-01,3.084891265175697e+00,-2.323312529889130e-02
1.799999999999913e+00,2.051297457847062e+00,8.316524302614570e-01,3.466166203910368e+00,-2.320392626371296e-02
1.999999999999891e+00,2.055434249745144e+00,9.217768754769116e-01,3.846687948663152e+00,-2.317821039135865e-02
2.199999999999869e+00,2.059330506674532e+00,1.011549881659068e+00,4.226505983081780e+00,-2.315553639011479e-02
2.399999999999847e+00,2.063001506712294e+00,1.100993702589719e+00,4.605665980831231e+00,-2.313552317508456e-02
2.599999999999825e+00,2.066461412381659e+00,1.190128973315592e+00,4.984210163488801e+00,-2.311784092756853e-02
2.799999999999803e+00,2.069723368458824e+00,1.278974851570918e+00,5.362177617368777e+00,-2.310220360704902e-02
2.999999999999781e+00,2.072799589375129e+00,1.367549144183372e+00,5.739604574872628e+00,-2.308836265771711e-02
3.199999999999759e+00,2.075701437528730e+00,1.455868420360093e+00,6.116524665083944e+00,-2.307610170137193e-02
3.399999999999737e+00,2.078439493628669e+00,1.543948113474326e+00,6.492969137605010e+00,-2.306523204798456e-02
3.599999999999715e+00,2.081023620034514e+00,1.631802612742143e+00,6.868967063033684e+00,-2.305558888660126e-02
3.799999999999693e+00,2.083463017920403e+00,1.719445345984788e+00,7.244545512981436e+00,-2.304702804432377e-02
3.999999999999670e+00,2.085766278979121e+00,1.806888854508762e+00,7.619729722117923e+00,-2.303942322123185e-02
4.199999999999737e+00,2.087941432286099e+00,1.894144860997433e+00,7.994543234378816e+00,-2.303266362533533e-02
4.399999999999804e+00,2.089995986861728e+00,1.981224331190623e+00,8.369008035179784e+00,-2.302665194478260e-02
4.599999999999871e+00,2.091936970401246e+00,2.068137530028603e+00,8.743144671231581e+00,-2.302130260522981e-02
4.799999999999938e+00,2.093770964582033e+00,2.154894072851473e+00,9.116972359340711e+00,-2.301654026899853e-02
5.000000000000004e+00,2.095504137307432e+00,2.241502972171688e+00,9.490509085400884e+00,-2.301229853978746e-02
5.200000000000071e+00,2.097142272202447e+00,2.327972680474419e+00,9.863771694627424e+00,-2.300851884258038e-02
5.400000000000138e+00,2.098690795639075e+00,2.414311129446218e+00,1.023677597395613e+01,-2.300514945323557e-02
5.600000000000205e+00,2.100154801536339e+00,2.500525765985394e+00,1.060953672741491e+01,-2.300214465625573e-02
5.800000000000272e+00,2.101539074151830e+00,2.586623585306834e+00,1.098206784517991e+01,-2.299946401256759e-02
6.000000000000338e+00,2.102848109057077e+00,2.672611161418600e+00,1.135438236694408e+01,-2.299707172191565e-02
6.200000000000405e+00,2.104086132467541e+00,2.758494675216709e+00,1.172649254015281e+01,-2.299493606679349e-02
6.400000000000472e+00,2.105257119079351e+00,2.844279940417624e+00,1.209840987359918e+01,-2.299302892677905e-02
6.600000000000539e+00,2.106364808548613e+00,2.929972427524356e+00,1.247014518681511e+01,-2.299132535377214e-02
6.800000000000606e+00,2.107412720734525e+00,3.015577286001324e+00,1.284170865564811e+01,-2.298980320000713e-02
7.000000000000672e+00,2.108404169815127e+00,3.101099364814948e+00,1.321310985437013e+01,-2.298844279187632e-02
7.200000000000739e+00,2.109342277373232e+00,3.186543231480884e+00,1.358435779462878e+01,-2.298722664358114e-02
7.400000000000806e+00,2.110229984540188e+00,3.271913189744569e+00,1.395546096151879e+01,-2.298613920546342e-02
7.600000000000873e+00,2.111070063276632e+00,3.357213296009274e+00,1.432642734702271e+01,-2.298516664257858e-02
7.800000000000940e+00,2.111865126861401e+00,3.442447374614674e+00,1.469726448104504e+01,-2.298429663967722e-02
8.000000000001005e+00,2.112617639653077e+00,3.527619032059059e+00,1.506797946024142e+01,-2.298351822927820e-02
8.200000000000895e+00,2.113329926182521e+00,3.612731670249505e+00,1.543857897482506e+01,-2.298282163995930e-02
8.400000000000784e+00,2.114004179629220e+00,3.697788498856531e+00,1.580906933351446e+01,-2.298219816237008e-02
8.600000000000673e+00,2.114642469729524e+00,3.782792546842653e+00,1.617945648677183e+01,-2.298164003079773e-02
8.800000000000562e+00,2.115246750160405e+00,3.867746673228048e+00,1.654974604846664e+01,-2.298114031839744e-02
9.000000000000451e+00,2.115818865438528e+00,3.952653577150940e+00,1.691994331608715e+01,-2.298069284444135e-02
9.200000000000340e+00,2.116360557370923e+00,4.037515807275136e+00,1.729005328961119e+01,-2.298029209214784e-02
9.400000000000230e+00,2.116873471090368e+00,4.122335770592816e+00,1.766008068913779e+01,-2.297993313583505e-02
9.600000000000119e+00,2.117359160705790e+00,4.207115740666324e+00,1.803002997137184e+01,-2.297961157629867e-02
9.800000000000008e+00,2.117819094595466e+00,4.291857865349323e+00,1.839990534504694e+01,-2.297932348345059e-02
9.999999999999897e+00,2.118254660368430e+00,4.376564174024052e+00,1.876971078536307e+01,-2.297906534537223e-02
1.019999999999979e+01,2.118667169517472e+00,4.461236584388669e+00,1.913945004751023e+01,-2.297883402304075e-02
1.039999999999968e+01,2.119057861785197e+00,4.545876908825663e+00,1.950912667934290e+01,-2.297862671007512e-02
1.059999999999956e+01,2.119427909262892e+00,4.630486860380175e+00,1.987874403326477e+01,-2.297844089692750e-02
1.079999999999945e+01,2.119778420240441e+00,4.715068058374474e+00,2.024830527737844e+01,-2.297827433901384e-02
1.099999999999934e+01,2.120110442824054e+00,4.799622033682994e+00,2.061781340595102e+01,-2.297812502833791e-02
1.119999999999923e+01,2.120424968337334e+00,4.884150233690502e+00,2.098727124924097e+01,-2.297799116821437e-02
1.139999999999912e+01,2.120722934520018e+00,4.968654026954064e+00,2.135668148273019e+01,-2.297787115074449e-02
1.159999999999901e+01,2.121005228537626e+00,5.053134707588141e+00,2.172604663579999e+01,-2.297776353673534e-02
1.179999999999890e+01,2.121272689814349e+00,5.137593499390616e+00,2.209536909988796e+01,-2.297766703779259e-02
1.199999999999879e+01,2.121526112700545e+00,5.222031559726194e+00,2.246465113615919e+01,-2.297758050034463e-02
1.219999999999868e+01,2.121766248985399e+00,5.306449983182662e+00,2.283389488272336e+01,-2.297750289138615e-02
1.239999999999857e+01,2.121993810264580e+00,5.390849805014048e+00,2.320310236142665e+01,-2.297743328575128e-02
1.259999999999846e+01,2.122209470172027e+00,5.475232004384083e+00,2.357227548424512e+01,-2.297737085474969e-02
1.279999999999835e+01,2.122413866484345e+00,5.559597507422120e+00,2.394141605930498e+01,-2.297731485601579e-02
1.299999999999823e+01,2.122607603105704e+00,5.643947190103102e+00,2.431052579655254e+01,-2.297726462444009e-02
1.319999999999812e+01,2.122791251940674e+00,5.728281880962124e+00,2.467960631309543e+01,-2.297721956406493e-02
1.339999999999801e+01,2.122965354661775e+00,5.812602363653575e+00,2.504865913823560e+01,-2.297717914083997e-02
1.359999999999790e+01,2.123130424378248e+00,5.896909379364198e+00,2.541768571821217e+01,-2.297714287614539e-02
1.379999999999779e+01,2.123286947211989e+00,5.981203629088617e+00,2.578668742067206e+01,-2.297711034099959e-02
1.399999999999768e+01,2.123435383786259e+00,6.065485775775452e+00,2.615566553888437e+01,-2.297708115087885e-02
1.419999999999757e+01,2.123576170632447e+00,6.149756446351661e+00,2.652462129571365e+01,-2.297705496108213e-02
1.439999999999746e+01,2.123709721519725e+00,6.234016233631975e+00,2.689355584736642e+01,-2.297703146258426e-02
1.459999999999735e+01,2.123836428712274e+00,6.318265698120219e+00,2.726247028692396e+01,-2.297701037832432e-02
1.479999999999724e+01,2.123956664158333e+00,6.402505369708616e+00,2.763136564767371e+01,-2.297699145988420e-02
1.499999999999713e+01,2.124070780615123e+00,6.486735749280818e+00,2.800024290625102e+01,-2.297697448451397e-02
1.519999999999702e+01,2.124179112713479e+00,6.570957310224160e+00,2.836910298560175e+01,-2.297695925247010e-02
1.539999999999690e+01,2.124281977965699e+00,6.655170499856140e+00,2.873794675777614e+01,-2.297694558463088e-02
1.559999999999679e+01,2.124379677720011e+00,6.739375740769890e+00,2.910677504656319e+01,-2.297693332036128e-02
1.579999999999668e+01,2.124472498064789e+00,6.823573432103132e+00,2.947558862997435e+01,-2.297692231560070e-02
1.599999999999657e+01,2.124560710685468e+00,6.907763950734791e+00,2.984438824258517e+01,-2.297691244115000e-02
1.619999999999682e+01,2.124644573676986e+00,6.991947652413043e+00,3.021317457774223e+01,-2.297690358113683e-02
1.639999999999706e+01,2.124724332314361e+00,7.076124872818700e+00,3.058194828964280e+01,-2.297689563164122e-02
1.659999999999730e+01,2.124800219783890e+00,7.160295928567168e+00,3.095070999529418e+01,-2.297688849946351e-02
1.679999999999755e+01,2.124872457877323e+00,7.244461118152306e+00,3.131946027635899e+01,-2.297688210102126e-02
1.699999999999779e+01,2.124941257651221e+00,7.328620722835196e+00,3.168819968089228e+01,-2.297687636136018e-02
1.719999999999804e+01,2.125006820053573e+00,7.412775007480629e+00,3.205692872497626e+01,-2.297687121326845e-02
1.739999999999828e+01,2.125069336519682e+00,7.496924221343998e+00,3.242564789425784e+01,-2.297686659648291e-02
1.759999999999853e+01,2.125128989539161e+00,7.581068598811057e+00,3.279435764539363e+01,-2.297686245697775e-02
1.779999999999877e+01,2.125185953195837e+00,7.665208360092934e+00,3.316305840740762e+01,-2.297685874632788e-02
1.799999999999902e+01,2.125240393682217e+00,7.749343711878489e+00,3.353175058296530e+01,-2.297685542113807e-02
1.819999999999926e+01,2.125292469790145e+00,7.833474847946164e+00,3.390043454956822e+01,-2.297685244253193e-02
1.839999999999950e+01,2.125342333379159e+00,7.917601949737135e+00,3.426911066067296e+01,-2.297684977569440e-02
1.859999999999975e+01,2.125390129823945e+00,8.001725186891649e+00,3.463777924673848e+01,-2.297684738946241e-02
1.879999999999999e+01,2.125435998442339e+00,8.085844717750089e+00,3.500644061620396e+01,-2.297684525595853e-02
1.900000000000024e+01,2.125480072905132e+00,8.169960689820501e+00,3.537509505640146e+01,-2.297684335026332e-02
1.920000000000048e+01,2.125522481628921e+00,8.254073240213753e+00,3.574374283440518e+01,-2.297684165012288e-02
1.940000000000073e+01,2.125563348153240e+00,8.338182496048050e+00,3.611238419782063e+01,-2.297684013568752e-02
1.960000000000097e+01,2.125602791503084e+00,8.422288574823584e+00,3.648101937551623e+01,-2.297683878927879e-02
1.980000000000122e+01,2.125640926537937e+00,8.506391584768933e+00,3.684964857829867e+01,-2.297683759518241e-02
2.000000000000146e+01,2.125677864288325e+00,8.590491625159894e+00,3.721827199953540e+01,-2.297683653946376e-02
2.020000000000170e+01,2.125713712280948e+00,8.674588786612077e+00,3.758688981572529e+01,-2.297683560980460e-02
2.040000000000195e+01,2.125748574853335e+00,8.758683151347741e+00,3.795550218701938e+01,-2.297683479535890e-02
2.060000000000219e+01,2.125782553458974e+00,8.842774793438092e+00,3.832410925769366e+01,-2.297683408662544e-02
2.080000000000244e+01,2.125815746963800e+00,8.926863779021572e+00,3.869271115657494e+01,-2.297683347533697e-02
2.100000000000268e+01,2.125848251934980e+00,9.010950166498837e+00,3.906130799742133e+01,-2.297683295436282e-02
2.120000000000293e+01,2.125880162922802e+00,9.095034006705054e+00,3.942989987925829e+01,-2.297683251762595e-02
2.140000000000317e+01,2.125911572736491e+00,9.179115343059964e+00,3.979848688667212e+01,-2.297683216003128e-02
2.160000000000342e+01,2.125942572714832e+00,9.263194211696385e+00,4.016706909006022e+01,-2.297683187740627e-02
2.180000000000366e+01,2.125973252992329e+00,9.347270641567285e+00,4.053564654584040e+01,-2.297683166645190e-02
2.200000000000390e+01,2.126003702761722e+00,9.431344654531912e+00,4.090421929661947e+01,-2.297683152470387e-02
2.220000000000415e+01,2.126034010533600e+00,9.515416265421289e+00,4.127278737132099e+01,-2.297683145050376e-02
2.240000000000439e+01,2.126064264393928e+00,9.599485482083137e+00,4.164135078527365e+01,-2.297683144297927e-02
2.260000000000464e+01,2.126094552260155e+00,9.683552305406598e+00,4.200990954025977e+01,-2.297683150203395e-02
2.280000000000488e+01,2.126124962136709e+00,9.767616729326553e+00,4.237846362452452e+01,-2.297683162834569e-02
2.300000000000513e+01,2.126155582370632e+00,9.851678740807893e+00,4.274701301274560e+01,-2.297683182337418e-02
