tau,r,phi,t,E
0.000000000000000e+00,1.000000000000000e+01,0.000000000000000e+00,0.000000000000000e+00,8.599300000000000e-01
2.000000000000001e-02,9.974110722616542e+00,8.020765643889503e-04,3.665416600924615e-02,8.601536028544691e-01
4.000000000000003e-02,9.948224914822216e+00,1.608327500385460e-03,7.331893463405034e-02,8.603790988055584e-01
6.000000000000005e-02,9.922342606486490e+00,2.418784912514829e-03,1.099943658713668e-01,8.606065069626283e-01
8.000000000000006e-02,9.896463827788068e+00,3.233481228835804e-03,1.466805202160832e-01,8.608358466622034e-01
1.000000000000001e-01,9.870588609218704e+00,4.052449204936972e-03,1.833774586664057e-01,8.610671374710532e-01
1.200000000000001e-01,9.844716981587052e+00,4.875721927991091e-03,2.200852427293143e-01,8.613003991893208e-01
1.400000000000001e-01,9.818848976022597e+00,5.703332820868319e-03,2.568039344260916e-01,8.615356518536964e-01
1.600000000000001e-01,9.792984623979626e+00,6.535315646309303e-03,2.935335962979233e-01,8.617729157406405e-01
1.800000000000001e-01,9.767123957241255e+00,7.371704511159133e-03,3.302742914115747e-01,8.620122113696536e-01
2.000000000000001e-01,9.741267007923533e+00,8.212533870663154e-03,3.670260833651415e-01,8.622535595065962e-01
2.200000000000002e-01,9.715413808479571e+00,9.057838532825673e-03,4.037890362938784e-01,8.624969811670590e-01
2.400000000000002e-01,9.689564391703758e+00,9.907653662832612e-03,4.405632148761050e-01,8.627424976197827e-01
2.600000000000002e-01,9.663718790736036e+00,1.076201478753914e-02,4.773486843391909e-01,8.629901303901309e-01
2.800000000000002e-01,9.637877039066213e+00,1.162095780002345e-02,5.141455104656220e-01,8.632399012636136e-01
3.000000000000002e-01,9.612039170538372e+00,1.248451896420763e-02,5.509537595991469e-01,8.634918322894655e-01
3.200000000000002e-01,9.586205219355328e+00,1.335273491954698e-02,5.877734986510088e-01,8.637459457842777e-01
3.400000000000002e-01,9.560375220083134e+00,1.422564268578867e-02,6.246047951062584e-01,8.640022643356841e-01
3.600000000000003e-01,9.534549207655679e+00,1.510327966780113e-02,6.614477170301561e-01,8.642608108061042e-01
3.800000000000003e-01,9.508727217379350e+00,1.598568366047521e-02,6.983023330746576e-01,8.645216083365423e-01
4.000000000000003e-01,9.482909284937735e+00,1.687289285369836e-02,7.351687124849907e-01,8.647846803504441e-01
4.200000000000003e-01,9.457095446396421e+00,1.776494583740313e-02,7.720469251063202e-01,8.650500505576122e-01
4.400000000000003e-01,9.431285738207864e+00,1.866188160669115e-02,8.089370413905045e-01,8.653177429581809e-01
4.600000000000004e-01,9.405480197216317e+00,1.956373956703388e-02,8.458391324029449e-01,8.655877818466512e-01
4.800000000000004e-01,9.379678860662819e+00,2.047055953955161e-02,8.827532698295292e-01,8.658601918159878e-01
5.000000000000003e-01,9.353881766190304e+00,2.138238176637173e-02,9.196795259836701e-01,8.661349977617777e-01
5.200000000000004e-01,9.328088951848729e+00,2.229924691606786e-02,9.566179738134418e-01,8.664122248864522e-01
5.400000000000004e-01,9.302300456100317e+00,2.322119608918116e-02,9.935686869088154e-01,8.666918987035740e-01
5.600000000000004e-01,9.276516317824864e+00,2.414827082382520e-02,1.030531739508993e+00,8.669740450421888e-01
5.800000000000004e-01,9.250736576325123e+00,2.508051310137585e-02,1.067507206509847e+00,8.672586900512435e-01
6.000000000000004e-01,9.224961271332264e+00,2.601796535224760e-02,1.104495163471457e+00,8.675458602040724e-01
6.200000000000004e-01,9.199190443011425e+00,2.696067046175783e-02,1.141495686625760e+00,8.678355823029512e-01
6.400000000000005e-01,9.173424131967352e+00,2.790867177608058e-02,1.178508852884300e+00,8.681278834837208e-01
6.600000000000005e-01,9.147662379250107e+00,2.886201310829132e-02,1.215534739846095e+00,8.684227912204822e-01
6.800000000000005e-01,9.121905226360866e+00,2.982073874450424e-02,1.252573425805603e+00,8.687203333303624e-01
7.000000000000005e-01,9.096152715257807e+00,3.078489345010378e-02,1.289624989760812e+00,8.690205379783543e-01
7.200000000000005e-01,9.070404888362074e+00,3.175452247607197e-02,1.326689511421434e+00,8.693234336822300e-01
7.400000000000005e-01,9.044661788563879e+00,3.272967156541313e-02,1.363767071217223e+00,8.696290493175292e-01
7.600000000000006e-01,9.018923459228619e+00,3.371038695967799e-02,1.400857750306408e+00,8.699374141226246e-01
7.800000000000006e-01,8.993189944203136e+00,3.469671540558836e-02,1.437961630584246e+00,8.702485577038651e-01
8.000000000000006e-01,8.967461287822077e+00,3.568870416176481e-02,1.475078794691692e+00,8.705625100407969e-01
8.200000000000006e-01,8.941737534914326e+00,3.668640100555845e-02,1.512209326024206e+00,8.708793014914654e-01
8.400000000000006e-01,8.916018730809530e+00,3.768985423998932e-02,1.549353308740667e+00,8.711989627977991e-01
8.600000000000007e-01,8.890304921344743e+00,3.869911270079269e-02,1.586510827772436e+00,8.715215250910744e-01
8.800000000000007e-01,8.864596152871179e+00,3.971422576357543e-02,1.623681968832530e+00,8.718470198974660e-01
