tau,r,phi,t
0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e-02,2.0020928851e+00,8.9905847873e-03,3.8263137868e-02
4.0000000000e-02,2.0041763743e+00,1.7962434757e-02,7.6486471217e-02
6.0000000000e-02,2.0062505706e+00,2.6915691854e-02,1.1467034244e-01
8.0000000000e-02,2.0083155754e+00,3.5850496090e-02,1.5281508876e-01
1.0000000000e-01,2.0103714892e+00,4.4766985583e-02,1.9092104240e-01
1.2000000000e-01,2.0124184111e+00,5.3665296584e-02,2.2898853059e-01
1.4000000000e-01,2.0144564388e+00,6.2545563514e-02,2.6701787573e-01
1.6000000000e-01,2.0164856691e+00,7.1407918994e-02,3.0500939545e-01
1.8000000000e-01,2.0185061975e+00,8.0252493875e-02,3.4296340272e-01
2.0000000000e-01,2.0205181182e+00,8.9079417271e-02,3.8088020594e-01
2.2000000000e-01,2.0225215244e+00,9.7888816584e-02,4.1876010901e-01
2.4000000000e-01,2.0245165082e+00,1.0668081754e-01,4.5660341141e-01
2.6000000000e-01,2.0265031605e+00,1.1545554420e-01,4.9441040832e-01
2.8000000000e-01,2.0284815711e+00,1.2421311902e-01,5.3218139067e-01
3.0000000000e-01,2.0304518289e+00,1.3295366284e-01,5.6991664522e-01
3.2000000000e-01,2.0324140215e+00,1.4167729494e-01,6.0761645464e-01
3.4000000000e-01,2.0343682356e+00,1.5038413305e-01,6.4528109761e-01
3.6000000000e-01,2.0363145570e+00,1.5907429339e-01,6.8291084886e-01
3.8000000000e-01,2.0382530703e+00,1.6774789067e-01,7.2050597923e-01
4.0000000000e-01,2.0401838592e+00,1.7640503814e-01,7.5806675581e-01
4.2000000000e-01,2.0421070064e+00,1.8504584760e-01,7.9559344194e-01
4.4000000000e-01,2.0440225937e+00,1.9367042943e-01,8.3308629728e-01
4.6000000000e-01,2.0459307020e+00,2.0227889260e-01,8.7054557794e-01
4.8000000000e-01,2.0478314111e+00,2.1087134472e-01,9.0797153646e-01
5.0000000000e-01,2.0497248002e+00,2.1944789203e-01,9.4536442193e-01
5.2000000000e-01,2.0516109472e+00,2.2800863943e-01,9.8272448004e-01
5.4000000000e-01,2.0534899295e+00,2.3655369054e-01,1.0200519531e+00
5.6000000000e-01,2.0553618234e+00,2.4508314764e-01,1.0573470802e+00
5.8000000000e-01,2.0572267044e+00,2.5359711178e-01,1.0946100971e+00
6.0000000000e-01,2.0590846473e+00,2.6209568273e-01,1.1318412365e+00
6.2000000000e-01,2.0609357259e+00,2.7057895903e-01,1.1690407279e+00
6.4000000000e-01,2.0627800133e+00,2.7904703804e-01,1.2062087978e+00
6.6000000000e-01,2.0646175818e+00,2.8750001587e-01,1.2433456695e+00
6.8000000000e-01,2.0664485027e+00,2.9593798750e-01,1.2804515636e+00
7.0000000000e-01,2.0682728468e+00,3.0436104673e-01,1.3175266976e+00
7.2000000000e-01,2.0700906841e+00,3.1276928622e-01,1.3545712862e+00
7.4000000000e-01,2.0719020837e+00,3.2116279751e-01,1.3915855413e+00
7.6000000000e-01,2.0737071141e+00,3.2954167103e-01,1.4285696721e+00
7.8000000000e-01,2.0755058430e+00,3.3790599612e-01,1.4655238848e+00
8.0000000000e-01,2.0772983374e+00,3.4625586106e-01,1.5024483833e+00
8.2000000000e-01,2.0790846636e+00,3.5459135306e-01,1.5393433686e+00
8.4000000000e-01,2.0808648872e+00,3.6291255828e-01,1.5762090392e+00
8.6000000000e-01,2.0826390731e+00,3.7121956186e-01,1.6130455910e+00
8.8000000000e-01,2.0844072855e+00,3.7951244795e-01,1.6498532175e+00
