r,phi
8.9583874820e+00,8.0286533096e-01
7.3231719727e+01,4.2912975678e+00
8.9583874469e+00,7.7796222766e+00
7.3231719727e+01,1.1268073929e+01
8.9583874441e+00,1.4756403603e+01
7.3231719727e+01,1.8244857010e+01
8.9583874438e+00,2.1733187273e+01
7.3231719727e+01,2.5221640881e+01
8.9583874438e+00,2.8709971215e+01
7.3231719727e+01,3.2198424846e+01
8.9583874438e+00,3.5686755188e+01
7.3231719727e+01,3.9175208822e+01
8.9583874438e+00,4.2663539164e+01
7.3231719727e+01,4.6151992799e+01
8.9583874438e+00,4.9640323140e+01
7.3231719727e+01,5.3128776775e+01
8.9583874438e+00,5.6617107117e+01
7.3231719727e+01,6.0105560752e+01
8.9583874438e+00,6.3593891093e+01
7.3231719727e+01,6.7082344728e+01
8.9583874438e+00,7.0570675070e+01
7.3231719727e+01,7.4059128705e+01
8.9583874438e+00,7.7547459046e+01
7.3231719727e+01,8.1035912681e+01
8.9583874438e+00,8.4524243023e+01
7.3231719727e+01,8.8012696658e+01
8.9583874438e+00,9.1501026999e+01
7.3231719727e+01,9.4989480634e+01
8.9583874438e+00,9.8477810976e+01
7.3231719727e+01,1.0196626461e+02
8.9583874438e+00,1.0545459495e+02
7.3231719727e+01,1.0894304859e+02
8.9583874438e+00,1.1243137893e+02
7.3231719727e+01,1.1591983256e+02
8.9583874438e+00,1.1940816291e+02
7.3231719727e+01,1.2289661654e+02
8.9583874438e+00,1.2638494688e+02
7.3231719727e+01,1.2987340052e+02
8.9583874438e+00,1.3336173086e+02
7.3231719727e+01,1.3685018449e+02
8.9583874438e+00,1.4033851483e+02
7.3231719727e+01,1.4382696847e+02
8.9583874438e+00,1.4731529881e+02
7.3231719727e+01,1.5080375245e+02
8.9583874438e+00,1.5429208279e+02
7.3231719727e+01,1.5778053642e+02
8.9583874438e+00,1.6126886676e+02
7.3231719727e+01,1.6475732040e+02
8.9583874438e+00,1.6824565074e+02
7.3231719727e+01,1.7173410437e+02
8.9583874438e+00,1.7522243472e+02
7.3231719727e+01,1.7871088835e+02
8.9583874438e+00,1.8219921869e+02
7.3231719727e+01,1.8568767233e+02
8.9583874438e+00,1.8917600267e+02
7.3231719727e+01,1.9266445630e+02
8.9583874438e+00,1.9615278665e+02
7.3231719727e+01,1.9964124028e+02
8.9583874438e+00,2.0312957062e+02
7.3231719727e+01,2.0661802426e+02
8.9583874438e+00,2.1010635460e+02
7.3231719727e+01,2.1359480823e+02
8.9583874438e+00,2.1708313858e+02
7.3231719727e+01,2.2057159221e+02
8.9583874438e+00,2.2405992255e+02
7.3231719727e+01,2.2754837619e+02
8.9583874438e+00,2.3103670653e+02
7.3231719727e+01,2.3452516016e+02
8.9583874438e+00,2.3801349050e+02
7.3231719727e+01,2.4150194414e+02
8.9583874438e+00,2.4499027448e+02
7.3231719727e+01,2.4847872812e+02
8.9583874438e+00,2.5196705846e+02
7.3231719727e+01,2.5545551209e+02
8.9583874438e+00,2.5894384243e+02
7.3231719727e+01,2.6243229607e+02
8.9583874438e+00,2.6592062641e+02
7.3231719727e+01,2.6940908005e+02
8.9583874438e+00,2.7289741039e+02
7.3231719727e+01,2.7638586402e+02
8.9583874438e+00,2.7987419436e+02
7.3231719727e+01,2.8336264800e+02
8.9583874438e+00,2.8685097834e+02
7.3231719727e+01,2.9033943197e+02
