r,phi
8.9583970252e+00,8.0099623636e-01
7.3231719370e+01,4.2883831233e+00
8.9584006182e+00,7.7741294253e+00
7.3231719408e+01,1.1261300372e+01
8.9584042727e+00,1.4746567601e+01
7.3231719435e+01,1.8233578204e+01
8.9584045849e+00,2.1718812659e+01
7.3231719437e+01,2.5205813291e+01
8.9584046124e+00,2.8691044875e+01
7.3231719437e+01,3.2178044666e+01
8.9584046148e+00,3.5663276004e+01
7.3231719437e+01,3.9150275724e+01
8.9584046150e+00,4.2635507041e+01
7.3231719437e+01,4.6122506754e+01
8.9584046150e+00,4.9607738070e+01
7.3231719437e+01,5.3094737783e+01
8.9584046150e+00,5.6579969099e+01
7.3231719437e+01,6.0066968811e+01
8.9584046150e+00,6.3552200127e+01
7.3231719437e+01,6.7039199839e+01
8.9584046150e+00,7.0524431155e+01
7.3231719437e+01,7.4011430868e+01
8.9584046150e+00,7.7496662183e+01
7.3231719437e+01,8.0983661896e+01
8.9584046150e+00,8.4468893212e+01
7.3231719437e+01,8.7955892924e+01
8.9584046150e+00,9.1441124240e+01
7.3231719437e+01,9.4928123952e+01
8.9584046150e+00,9.8413355268e+01
7.3231719437e+01,1.0190035498e+02
8.9584046150e+00,1.0538558630e+02
7.3231719437e+01,1.0887258601e+02
8.9584046150e+00,1.1235781732e+02
7.3231719437e+01,1.1584481704e+02
8.9584046150e+00,1.1933004835e+02
7.3231719437e+01,1.2281704807e+02
8.9584046150e+00,1.2630227938e+02
7.3231719437e+01,1.2978927909e+02
8.9584046150e+00,1.3327451041e+02
7.3231719437e+01,1.3676151012e+02
8.9584046150e+00,1.4024674144e+02
7.3231719437e+01,1.4373374115e+02
8.9584046150e+00,1.4721897247e+02
7.3231719437e+01,1.5070597218e+02
8.9584046150e+00,1.5419120349e+02
7.3231719437e+01,1.5767820321e+02
8.9584046150e+00,1.6116343452e+02
7.3231719437e+01,1.6465043423e+02
8.9584046150e+00,1.6813566555e+02
7.3231719437e+01,1.7162266526e+02
8.9584046150e+00,1.7510789658e+02
7.3231719437e+01,1.7859489629e+02
8.9584046150e+00,1.8208012761e+02
7.3231719437e+01,1.8556712732e+02
8.9584046150e+00,1.8905235864e+02
7.3231719437e+01,1.9253935835e+02
8.9584046150e+00,1.9602458966e+02
7.3231719437e+01,1.9951158938e+02
8.9584046150e+00,2.0299682069e+02
7.3231719437e+01,2.0648382040e+02
8.9584046150e+00,2.0996905172e+02
7.3231719437e+01,2.1345605143e+02
8.9584046150e+00,2.1694128275e+02
7.3231719437e+01,2.2042828246e+02
8.9584046150e+00,2.2391351378e+02
7.3231719437e+01,2.2740051349e+02
8.9584046150e+00,2.3088574480e+02
7.3231719437e+01,2.3437274452e+02
8.9584046150e+00,2.3785797583e+02
7.3231719437e+01,2.4134497555e+02
8.9584046150e+00,2.4483020686e+02
7.3231719437e+01,2.4831720657e+02
8.9584046150e+00,2.5180243789e+02
7.3231719437e+01,2.5528943760e+02
8.9584046150e+00,2.5877466892e+02
7.3231719437e+01,2.6226166863e+02
8.9584046150e+00,2.6574689995e+02
7.3231719437e+01,2.6923389966e+02
8.9584046150e+00,2.7271913097e+02
7.3231719437e+01,2.7620613069e+02
8.9584046150e+00,2.7969136200e+02
7.3231719437e+01,2.8317836171e+02
8.9584046150e+00,2.8666359303e+02
7.3231719437e+01,2.9015059274e+02
