r,phi
7.323171972911456e+01,4.291741720835823e+00
7.323171972911456e+01,4.291741720835823e+00
7.323171972911456e+01,4.291741721395224e+00
7.323171972911456e+01,4.291741721395224e+00
7.323171972911456e+01,4.291741721954624e+00
7.323171972911456e+01,4.291741721954624e+00
7.323171972911456e+01,4.291741722514025e+00
7.323171972911456e+01,4.291741722514025e+00
7.323171972911456e+01,4.291741723073425e+00
7.323171972911456e+01,4.291741723073425e+00
7.323171972911456e+01,4.291741723632826e+00
7.323171972911456e+01,4.291741723632826e+00
7.323171972911456e+01,4.291741724192226e+00
7.323171972911456e+01,4.291741724192226e+00
7.323171972911456e+01,4.291741724751627e+00
7.323171972911456e+01,4.291741724751627e+00
7.323171972911456e+01,4.291741725311027e+00
7.323171972911456e+01,4.291741725311027e+00
7.323171972911456e+01,4.291741725870428e+00
7.323171972911456e+01,4.291741725870428e+00
7.323171972911456e+01,4.291741726429828e+00
7.323171972911456e+01,4.291741726429828e+00
7.323171972911456e+01,4.291741726989229e+00
7.323171972911456e+01,4.291741726989229e+00
7.323171972911456e+01,4.291741727548629e+00
7.323171972911456e+01,4.291741727548629e+00
7.323171972911456e+01,4.291741728108030e+00
7.323171972911456e+01,4.291741728108030e+00
7.323171972911456e+01,4.291741728667430e+00
7.323171972911456e+01,4.291741728667430e+00
7.323171972911456e+01,4.291741729226831e+00
7.323171972911456e+01,4.291741729226831e+00
7.323171972911456e+01,4.291741729786231e+00
7.323171972911456e+01,4.291741729786231e+00
7.323171972911456e+01,4.291741730345632e+00
7.323171972911456e+01,4.291741730345632e+00
7.323171972911456e+01,4.291741730905033e+00
7.323171972911456e+01,4.291741730905033e+00
7.323171972911456e+01,4.291741731464433e+00
7.323171972911456e+01,4.291741731464433e+00
7.323171972911456e+01,4.291741732023834e+00
7.323171972911456e+01,4.291741732023834e+00
7.323171972911456e+01,4.291741732583234e+00
7.323171972911456e+01,4.291741732583234e+00
7.323171972911456e+01,4.291741733142635e+00
7.323171972911456e+01,4.291741733142635e+00
7.323171972911456e+01,4.291741733702035e+00
7.323171972911456e+01,4.291741733702035e+00
7.323171972911456e+01,4.291741734261436e+00
7.323171972911456e+01,4.291741734261436e+00
7.323171972911456e+01,4.291741734820836e+00
7.323171972911456e+01,4.291741734820836e+00
7.323171972911456e+01,4.291741735380237e+00
7.323171972911456e+01,4.291741735380237e+00
7.323171972911456e+01,4.291741735939637e+00
7.323171972911456e+01,4.291741735939637e+00
7.323171972911456e+01,4.291741736499038e+00
7.323171972911456e+01,4.291741736499038e+00
7.323171972911456e+01,4.291741737058438e+00
7.323171972911456e+01,4.291741737058438e+00
7.323171972911456e+01,4.291741737617839e+00
7.323171972911456e+01,4.291741737617839e+00
7.323171972911456e+01,4.291741738177239e+00
7.323171972911456e+01,4.291741738177239e+00
