r,phi
3.289867169366699e+01,1.700664320611297e+00
9.105816387768459e+01,4.944605978166007e+00
3.289867169360899e+01,8.188541435464549e+00
9.105816387768208e+01,1.143247896321727e+01
3.289867169360038e+01,1.467641461184240e+01
9.105816387768184e+01,1.792035218131595e+01
3.289867169359996e+01,2.116428783972906e+01
9.105816387768182e+01,2.440822541212639e+01
3.289867169359981e+01,2.765216107399241e+01
9.105816387768181e+01,3.089609864744502e+01
3.289867169359976e+01,3.414003431042576e+01
9.105816387768181e+01,3.738397188443097e+01
3.289867169359976e+01,4.062790754741162e+01
9.105816387768181e+01,4.387184512141683e+01
3.289867169359976e+01,4.711578078439749e+01
9.105816387768181e+01,5.035971835840270e+01
3.289867169359976e+01,5.360365402138335e+01
9.105816387768181e+01,5.684759159538856e+01
3.289867169359976e+01,6.009152725836921e+01
9.105816387768181e+01,6.333546483237442e+01
3.289867169359976e+01,6.657940049536026e+01
9.105816387768181e+01,6.982333806936161e+01
3.289867169359976e+01,7.306727373234096e+01
9.105816387768181e+01,7.631121130634232e+01
3.289867169359976e+01,7.955514696932167e+01
9.105816387768181e+01,8.279908454332302e+01
3.289867169359976e+01,8.604302020630237e+01
9.105816387768181e+01,8.928695778030372e+01
3.289867169359976e+01,9.253089344328308e+01
9.105816387768181e+01,9.577483101728443e+01
3.289867169359976e+01,9.901876668026378e+01
9.105816387768181e+01,1.022627042542651e+02
3.289867169359976e+01,1.055066399172445e+02
9.105816387768181e+01,1.087505774912458e+02
3.289867169359976e+01,1.119945131542252e+02
9.105816387768181e+01,1.152384507282265e+02
3.289867169359976e+01,1.184823863912059e+02
9.105816387768181e+01,1.217263239652072e+02
3.289867169359976e+01,1.249702596281866e+02
9.105816387768181e+01,1.282141972021944e+02
3.289867169359976e+01,1.314581328651715e+02
9.105816387768181e+01,1.347020704391809e+02
3.289867169359976e+01,1.379460061021580e+02
9.105816387768181e+01,1.411899436761675e+02
3.289867169359976e+01,1.444338793391446e+02
9.105816387768181e+01,1.476778169131540e+02
