r,phi
9.105816388200731e+01,7.537758856758730e-06
3.289867169294186e+01,3.243947686293470e+00
9.105816388198230e+01,6.487887459429233e+00
9.105816388198230e+01,6.487887519731304e+00
3.289867169294300e+01,9.731827295423624e+00
9.105816388196610e+01,1.297576744140058e+01
3.289867169294051e+01,1.621970736652925e+01
9.105816388197994e+01,1.946364742338019e+01
3.289867169294219e+01,2.270758743764166e+01
9.105816388199442e+01,2.595152740535865e+01
3.289867169294399e+01,2.919546750874564e+01
9.105816388196038e+01,3.243940738732200e+01
3.289867169294337e+01,3.568334711787988e+01
9.105816388198549e+01,3.892728730899906e+01
3.289867169293869e+01,4.217122718897652e+01
9.105816388200847e+01,4.541516729096894e+01
3.289867169294165e+01,4.865910726007050e+01
9.105816388197624e+01,5.190304727292260e+01
3.289867169294470e+01,5.514698733115538e+01
9.105816388197101e+01,5.839092725486863e+01
3.289867169294053e+01,6.163486740225518e+01
9.105816388197853e+01,6.487880717654059e+01
9.105816388197853e+01,6.487880723684266e+01
3.289867169294450e+01,6.812274701137167e+01
9.105816388193743e+01,7.136668715848856e+01
