tau,r,phi,t,E
8.600000000000006e-02,4.961465288943976e+00,0.000000000000000e+00,1.076041645825920e-01,-7.766800493776427e-04
8.800000000000006e-02,4.960567354423816e+00,0.000000000000000e+00,1.101090855025582e-01,-7.949220877127849e-04
9.000000000000007e-02,4.959669338626724e+00,0.000000000000000e+00,1.126141209156801e-01,-8.131723834727128e-04
9.200000000000007e-02,4.958771241523264e+00,0.000000000000000e+00,1.151192708842651e-01,-8.314309426395577e-04
9.400000000000007e-02,4.957873063083984e+00,0.000000000000000e+00,1.176245354706738e-01,-8.496977712013493e-04
9.600000000000007e-02,4.956974803279409e+00,0.000000000000000e+00,1.201299147373200e-01,-8.679728751521398e-04
9.800000000000007e-02,4.956076462080049e+00,0.000000000000000e+00,1.226354087466709e-01,-8.862562604919216e-04
1.000000000000001e-01,4.955178039456394e+00,0.000000000000000e+00,1.251410175612471e-01,-9.045479332267098e-04
1.020000000000001e-01,4.954279535378915e+00,0.000000000000000e+00,1.276467412436227e-01,-9.228478993684452e-04
1.040000000000001e-01,4.953380949818064e+00,0.000000000000000e+00,1.301525798564254e-01,-9.411561649351474e-04
1.060000000000001e-01,4.952482282744277e+00,0.000000000000000e+00,1.326585334623362e-01,-9.594727359507754e-04
1.080000000000001e-01,4.951583534127966e+00,0.000000000000000e+00,1.351646021240903e-01,-9.777976184453252e-04
1.100000000000001e-01,4.950684703939529e+00,0.000000000000000e+00,1.376707859044760e-01,-9.961308184548434e-04
1.120000000000001e-01,4.949785792149343e+00,0.000000000000000e+00,1.401770848663358e-01,-1.014472342021344e-03
1.140000000000001e-01,4.948886798727766e+00,0.000000000000000e+00,1.426834990725660e-01,-1.032822195192948e-03
1.160000000000001e-01,4.947987723645139e+00,0.000000000000000e+00,1.451900285861166e-01,-1.051180384023756e-03
1.180000000000001e-01,4.947088566871781e+00,0.000000000000000e+00,1.476966734699918e-01,-1.069546914573977e-03
1.200000000000001e-01,4.946189328377995e+00,0.000000000000000e+00,1.502034337872497e-01,-1.087921792909841e-03
1.220000000000001e-01,4.945290008134065e+00,0.000000000000000e+00,1.527103096010026e-01,-1.106305025103643e-03
1.240000000000001e-01,4.944390606110253e+00,0.000000000000000e+00,1.552173009744169e-01,-1.124696617233800e-03
1.260000000000001e-01,4.943491122276805e+00,0.000000000000000e+00,1.577244079707131e-01,-1.143096575384750e-03
1.280000000000001e-01,4.942591556603949e+00,0.000000000000000e+00,1.602316306531663e-01,-1.161504905647051e-03
1.300000000000001e-01,4.941691909061890e+00,0.000000000000000e+00,1.627389690851057e-01,-1.179921614117369e-03
1.320000000000001e-01,4.940792179620817e+00,0.000000000000000e+00,1.652464233299150e-01,-1.198346706898473e-03
1.340000000000001e-01,4.939892368250900e+00,0.000000000000000e+00,1.677539934510323e-01,-1.216780190099229e-03
1.360000000000001e-01,4.938992474922288e+00,0.000000000000000e+00,1.702616795119503e-01,-1.235222069834646e-03
1.380000000000001e-01,4.938092499605113e+00,0.000000000000000e+00,1.727694815762164e-01,-1.253672352225843e-03
1.400000000000001e-01,4.937192442269487e+00,0.000000000000000e+00,1.752773997074326e-01,-1.272131043400085e-03
