r,Veff
2.870000e+00,-2.778036e-02
2.880000e+00,-2.777979e-02
2.890000e+00,-2.777931e-02
2.900000e+00,-2.777892e-02
2.910000e+00,-2.777860e-02
2.920000e+00,-2.777835e-02
2.930000e+00,-2.777816e-02
2.940000e+00,-2.777801e-02
2.950000e+00,-2.777791e-02
2.960000e+00,-2.777785e-02
2.970000e+00,-2.777781e-02
2.980000e+00,-2.777779e-02
2.990000e+00,-2.777778e-02
3.000000e+00,-2.777778e-02
3.010000e+00,-2.777778e-02
3.020000e+00,-2.777777e-02
3.030000e+00,-2.777775e-02
3.040000e+00,-2.777771e-02
3.050000e+00,-2.777766e-02
3.060000e+00,-2.777757e-02
3.070000e+00,-2.777745e-02
3.080000e+00,-2.777729e-02
3.090000e+00,-2.777709e-02
3.100000e+00,-2.777685e-02
3.110000e+00,-2.777655e-02
3.120000e+00,-2.777620e-02
3.130000e+00,-2.777579e-02
3.140000e+00,-2.777532e-02
3.150000e+00,-2.777478e-02
3.160000e+00,-2.777417e-02
3.170000e+00,-2.777349e-02
3.180000e+00,-2.777274e-02
3.190000e+00,-2.777191e-02
3.200000e+00,-2.777100e-02
3.210000e+00,-2.777000e-02
3.220000e+00,-2.776892e-02
3.230000e+00,-2.776775e-02
3.240000e+00,-2.776649e-02
3.250000e+00,-2.776513e-02
3.260000e+00,-2.776369e-02
3.270000e+00,-2.776214e-02
3.280000e+00,-2.776050e-02
3.290000e+00,-2.775875e-02
3.300000e+00,-2.775691e-02
3.310000e+00,-2.775496e-02
3.320000e+00,-2.775290e-02
3.330000e+00,-2.775074e-02
3.340000e+00,-2.774848e-02
3.350000e+00,-2.774610e-02
3.360000e+00,-2.774361e-02
3.370000e+00,-2.774101e-02
3.380000e+00,-2.773830e-02
3.390000e+00,-2.773548e-02
3.400000e+00,-2.773255e-02
3.410000e+00,-2.772950e-02
3.420000e+00,-2.772633e-02
3.430000e+00,-2.772305e-02
3.440000e+00,-2.771965e-02
3.450000e+00,-2.771614e-02
3.460000e+00,-2.771250e-02
3.470000e+00,-2.770875e-02
3.480000e+00,-2.770489e-02
3.490000e+00,-2.770090e-02
3.500000e+00,-2.769679e-02
3.510000e+00,-2.769257e-02
3.520000e+00,-2.768822e-02
3.530000e+00,-2.768376e-02
3.540000e+00,-2.767918e-02
3.550000e+00,-2.767448e-02
3.560000e+00,-2.766966e-02
3.570000e+00,-2.766472e-02
3.580000e+00,-2.765966e-02
3.590000e+00,-2.765448e-02
3.600000e+00,-2.764918e-02
3.610000e+00,-2.764376e-02
3.620000e+00,-2.763822e-02
3.630000e+00,-2.763257e-02
3.640000e+00,-2.762679e-02
3.650000e+00,-2.762090e-02
3.660000e+00,-2.761489e-02
3.670000e+00,-2.760876e-02
3.680000e+00,-2.760252e-02
3.690000e+00,-2.759616e-02
3.700000e+00,-2.758968e-02
3.710000e+00,-2.758308e-02
3.720000e+00,-2.757637e-02
3.730000e+00,-2.756955e-02
3.740000e+00,-2.756261e-02
3.750000e+00,-2.755556e-02
3.760000e+00,-2.754839e-02
3.770000e+00,-2.754111e-02
3.780000e+00,-2.753371e-02
3.790000e+00,-2.752621e-02
3.800000e+00,-2.751859e-02
3.810000e+00,-2.751086e-02
3.820000e+00,-2.750302e-02
3.830000e+00,-2.749507e-02
3.840000e+00,-2.748701e-02
3.850000e+00,-2.747885e-02
3.860000e+00,-2.747057e-02
3.870000e+00,-2.746219e-02
3.880000e+00,-2.745370e-02
3.890000e+00,-2.744510e-02
3.900000e+00,-2.743640e-02
3.910000e+00,-2.742760e-02
3.920000e+00,-2.741869e-02
3.930000e+00,-2.740968e-02
3.940000e+00,-2.740056e-02
3.950000e+00,-2.739134e-02
3.960000e+00,-2.738202e-02
3.970000e+00,-2.737260e-02
3.980000e+00,-2.736308e-02
3.990000e+00,-2.735347e-02
4.000000e+00,-2.734375e-02
4.010000e+00,-2.733394e-02
4.020000e+00,-2.732402e-02
4.030000e+00,-2.731402e-02
4.040000e+00,-2.730391e-02
4.050000e+00,-2.729372e-02
4.060000e+00,-2.728342e-02
4.070000e+00,-2.727304e-02
4.080000e+00,-2.726256e-02
4.090000e+00,-2.725199e-02
4.100000e+00,-2.724133e-02
4.110000e+00,-2.723058e-02
4.120000e+00,-2.721974e-02
4.130000e+00,-2.720882e-02
4.140000e+00,-2.719780e-02
4.150000e+00,-2.718670e-02
4.160000e+00,-2.717551e-02
4.170000e+00,-2.716423e-02
4.180000e+00,-2.715287e-02
4.190000e+00,-2.714143e-02
4.200000e+00,-2.712990e-02
4.210000e+00,-2.711829e-02
4.220000e+00,-2.710660e-02
4.230000e+00,-2.709482e-02
4.240000e+00,-2.708297e-02
4.250000e+00,-2.707104e-02
4.260000e+00,-2.705902e-02
4.270000e+00,-2.704693e-02
4.280000e+00,-2.703477e-02
4.290000e+00,-2.702252e-02
4.300000e+00,-2.701020e-02
4.310000e+00,-2.699780e-02
4.320000e+00,-2.698533e-02
4.330000e+00,-2.697279e-02
4.340000e+00,-2.696017e-02
4.350000e+00,-2.694749e-02
4.360000e+00,-2.693473e-02
4.370000e+00,-2.692189e-02
4.380000e+00,-2.690899e-02
4.390000e+00,-2.689602e-02
4.400000e+00,-2.688298e-02
4.410000e+00,-2.686988e-02
4.420000e+00,-2.685670e-02
4.430000e+00,-2.684346e-02
4.440000e+00,-2.683015e-02
4.450000e+00,-2.681678e-02
4.460000e+00,-2.680335e-02
4.470000e+00,-2.678985e-02
4.480000e+00,-2.677628e-02
4.490000e+00,-2.676266e-02
4.500000e+00,-2.674897e-02
4.510000e+00,-2.673522e-02
4.520000e+00,-2.672142e-02
4.530000e+00,-2.670755e-02
4.540000e+00,-2.669362e-02
4.550000e+00,-2.667964e-02
4.560000e+00,-2.666559e-02
4.570000e+00,-2.665149e-02
4.580000e+00,-2.663734e-02
4.590000e+00,-2.662313e-02
4.600000e+00,-2.660886e-02
4.610000e+00,-2.659454e-02
4.620000e+00,-2.658016e-02
4.630000e+00,-2.656574e-02
4.640000e+00,-2.655126e-02
4.650000e+00,-2.653672e-02
4.660000e+00,-2.652214e-02
4.670000e+00,-2.650751e-02
4.680000e+00,-2.649282e-02
4.690000e+00,-2.647809e-02
4.700000e+00,-2.646331e-02
4.710000e+00,-2.644848e-02
4.720000e+00,-2.643360e-02
4.730000e+00,-2.641867e-02
4.740000e+00,-2.640370e-02
4.750000e+00,-2.638869e-02
4.760000e+00,-2.637362e-02
4.770000e+00,-2.635852e-02
4.780000e+00,-2.634337e-02
4.790000e+00,-2.632817e-02
4.800000e+00,-2.631293e-02
4.810000e+00,-2.629765e-02
4.820000e+00,-2.628233e-02
4.830000e+00,-2.626697e-02
4.840000e+00,-2.625157e-02
4.850000e+00,-2.623612e-02
4.860000e+00,-2.622064e-02
4.870000e+00,-2.620512e-02
4.880000e+00,-2.618955e-02
4.890000e+00,-2.617396e-02
4.900000e+00,-2.615832e-02
4.910000e+00,-2.614264e-02
4.920000e+00,-2.612693e-02
4.930000e+00,-2.611119e-02
4.940000e+00,-2.609541e-02
4.950000e+00,-2.607959e-02
4.960000e+00,-2.606374e-02
4.970000e+00,-2.604785e-02
4.980000e+00,-2.603194e-02
4.990000e+00,-2.601598e-02
5.000000e+00,-2.600000e-02
5.010000e+00,-2.598398e-02
5.020000e+00,-2.596794e-02
5.030000e+00,-2.595186e-02
5.040000e+00,-2.593575e-02
5.050000e+00,-2.591961e-02
5.060000e+00,-2.590344e-02
5.070000e+00,-2.588724e-02
5.080000e+00,-2.587102e-02
5.090000e+00,-2.585476e-02
5.100000e+00,-2.583848e-02
5.110000e+00,-2.582217e-02
5.120000e+00,-2.580583e-02
5.130000e+00,-2.578947e-02
5.140000e+00,-2.577308e-02
5.150000e+00,-2.575666e-02
5.160000e+00,-2.574022e-02
5.170000e+00,-2.572376e-02
5.180000e+00,-2.570727e-02
5.190000e+00,-2.569075e-02
