tau,r,phi,t
2.0000000000e-02,9.9486271093e+00,2.0103281757e-03,6.2871944431e-02
4.0000000000e-02,9.8972704575e+00,4.0415227310e-03,1.2578017447e-01
6.0000000000e-02,9.8459302881e+00,6.0939034343e-03,1.8872509855e-01
8.0000000000e-02,9.7946068490e+00,8.1677964790e-03,2.5170713182e-01
1.0000000000e-01,9.7433003929e+00,1.0263534641e-02,3.1472669635e-01
1.2000000000e-01,9.6920111779e+00,1.2381457445e-02,3.7778422126e-01
1.4000000000e-01,9.6407394667e+00,1.4521911326e-02,4.4088014285e-01
1.6000000000e-01,9.5894855275e+00,1.6685249809e-02,5.0401490478e-01
1.8000000000e-01,9.5382496336e+00,1.8871833682e-02,5.6718895825e-01
2.0000000000e-01,9.4870320642e+00,2.1082031181e-02,6.3040276211e-01
2.2000000000e-01,9.4358331035e+00,2.3316218179e-02,6.9365678309e-01
2.4000000000e-01,9.3846530419e+00,2.5574778377e-02,7.5695149596e-01
2.6000000000e-01,9.3334921754e+00,2.7858103507e-02,8.2028738366e-01
2.8000000000e-01,9.2823508063e+00,3.0166593537e-02,8.8366493757e-01
3.0000000000e-01,9.2312292428e+00,3.2500656880e-02,9.4708465764e-01
3.2000000000e-01,9.1801277995e+00,3.4860710618e-02,1.0105470526e+00
3.4000000000e-01,9.1290467975e+00,3.7247180721e-02,1.0740526401e+00
3.6000000000e-01,9.0779865645e+00,3.9660502282e-02,1.1376019471e+00
3.8000000000e-01,9.0269474352e+00,4.2101119758e-02,1.2011955100e+00
4.0000000000e-01,8.9759297511e+00,4.4569487209e-02,1.2648338745e+00
4.2000000000e-01,8.9249338607e+00,4.7066068559e-02,1.3285175965e+00
4.4000000000e-01,8.8739601203e+00,4.9591337855e-02,1.3922472418e+00
4.6000000000e-01,8.8230088933e+00,5.2145779534e-02,1.4560233866e+00
4.8000000000e-01,8.7720805510e+00,5.4729888706e-02,1.5198466175e+00
5.0000000000e-01,8.7211754726e+00,5.7344171436e-02,1.5837175321e+00
5.2000000000e-01,8.6702940456e+00,5.9989145045e-02,1.6476367390e+00
5.4000000000e-01,8.6194366655e+00,6.2665338408e-02,1.7116048580e+00
5.6000000000e-01,8.5686037366e+00,6.5373292276e-02,1.7756225206e+00
5.8000000000e-01,8.5177956719e+00,6.8113559596e-02,1.8396903703e+00
6.0000000000e-01,8.4670128935e+00,7.0886705846e-02,1.9038090627e+00
6.2000000000e-01,8.4162558326e+00,7.3693309385e-02,1.9679792657e+00
6.4000000000e-01,8.3655249301e+00,7.6533961805e-02,2.0322016603e+00
6.6000000000e-01,8.3148206364e+00,7.9409268301e-02,2.0964769402e+00
6.8000000000e-01,8.2641434121e+00,8.2319848052e-02,2.1608058130e+00
7.0000000000e-01,8.2134937280e+00,8.5266334614e-02,2.2251889997e+00
7.2000000000e-01,8.1628720656e+00,8.8249376323e-02,2.2896272355e+00
7.4000000000e-01,8.1122789170e+00,9.1269636716e-02,2.3541212701e+00
7.6000000000e-01,8.0617147856e+00,9.4327794960e-02,2.4186718680e+00
7.8000000000e-01,8.0111801863e+00,9.7424546305e-02,2.4832798091e+00
8.0000000000e-01,7.9606756457e+00,1.0056060254e-01,2.5479458885e+00
8.2000000000e-01,7.9102017023e+00,1.0373669246e-01,2.6126709177e+00
8.4000000000e-01,7.8597589073e+00,1.0695356240e-01,2.6774557244e+00
8.6000000000e-01,7.8093478245e+00,1.1021197668e-01,2.7423011531e+00
8.8000000000e-01,7.7589690309e+00,1.1351271818e-01,2.8072080659e+00
9.0000000000e-01,7.7086231169e+00,1.1685658887e-01,2.8721773424e+00
9.2000000000e-01,7.6583106869e+00,1.2024441037e-01,2.9372098803e+00
9.4000000000e-01,7.6080323593e+00,1.2367702453e-01,3.0023065963e+00
9.6000000000e-01,7.5577887675e+00,1.2715529404e-01,3.0674684262e+00
9.8000000000e-01,7.5075805597e+00,1.3068010303e-01,3.1326963254e+00
1.0000000000e+00,7.4574083998e+00,1.3425235776e-01,3.1979912697e+00
1.0210000000e+00,7.4047671723e+00,1.3805530550e-01,3.2666242091e+00
1.0410000000e+00,7.3546710535e+00,1.4172775393e-01,3.3320597346e+00
1.0610000000e+00,7.3046131077e+00,1.4545055564e-01,3.3975654122e+00
1.0810000000e+00,7.2545940661e+00,1.4922471342e-01,3.4631423053e+00
1.1010000000e+00,7.2046146779e+00,1.5305125574e-01,3.5287915009e+00
1.1210000000e+00,7.1546757109e+00,1.5693123760e-01,3.5945141096e+00
1.1410000000e+00,7.1047779517e+00,1.6086574127e-01,3.6603112668e+00
1.1610000000e+00,7.0549222063e+00,1.6485587720e-01,3.7261841329e+00
1.1810000000e+00,7.0051093011e+00,1.6890278487e-01,3.7921338943e+00
1.2010000000e+00,6.9553400830e+00,1.7300763369e-01,3.8581617643e+00
1.2210000000e+00,6.9056154202e+00,1.7717162398e-01,3.9242689834e+00
1.2410000000e+00,6.8559362031e+00,1.8139598787e-01,3.9904568206e+00
1.2610000000e+00,6.8063033444e+00,1.8568199041e-01,4.0567265739e+00
1.2810000000e+00,6.7567177803e+00,1.9003093050e-01,4.1230795711e+00
1.3010000000e+00,6.7071804708e+00,1.9444414207e-01,4.1895171709e+00
1.3210000000e+00,6.6576924010e+00,1.9892299515e-01,4.2560407639e+00
1.3410000000e+00,6.6082545810e+00,2.0346889703e-01,4.3226517730e+00
1.3610000000e+00,6.5588680475e+00,2.0808329350e-01,4.3893516549e+00
1.3810000000e+00,6.5095338641e+00,2.1276767003e-01,4.4561419011e+00
1.4010000000e+00,6.4602531224e+00,2.1752355316e-01,4.5230240384e+00
1.4210000000e+00,6.4110269425e+00,2.2235251172e-01,4.5899996308e+00
1.4410000000e+00,6.3618564745e+00,2.2725615834e-01,4.6570702798e+00
1.4610000000e+00,6.3127428986e+00,2.3223615077e-01,4.7242376262e+00
1.4810000000e+00,6.2636874270e+00,2.3729419348e-01,4.7915033507e+00
1.5010000000e+00,6.2146913039e+00,2.4243203913e-01,4.8588691759e+00
1.5210000000e+00,6.1657558074e+00,2.4765149020e-01,4.9263368669e+00
1.5410000000e+00,6.1168822498e+00,2.5295440064e-01,4.9939082329e+00
1.5610000000e+00,6.0680719792e+00,2.5834267761e-01,5.0615851287e+00
1.5810000000e+00,6.0193263805e+00,2.6381828326e-01,5.1293694559e+00
1.6010000000e+00,5.9706468763e+00,2.6938323655e-01,5.1972631645e+00
1.6210000000e+00,5.9220349286e+00,2.7503961523e-01,5.2652682545e+00
1.6410000000e+00,5.8734920395e+00,2.8078955775e-01,5.3333867775e+00
1.6610000000e+00,5.8250197528e+00,2.8663526540e-01,5.4016208382e+00
1.6810000000e+00,5.7766196552e+00,2.9257900440e-01,5.4699725962e+00
1.7010000000e+00,5.7282933778e+00,2.9862310813e-01,5.5384442679e+00
1.7210000000e+00,5.6800425974e+00,3.0476997942e-01,5.6070381282e+00
1.7410000000e+00,5.6318690379e+00,3.1102209294e-01,5.6757565124e+00
1.7610000000e+00,5.5837744720e+00,3.1738199768e-01,5.7446018184e+00
1.7810000000e+00,5.5357607226e+00,3.2385231948e-01,5.8135765085e+00
1.8010000000e+00,5.4878296646e+00,3.3043576372e-01,5.8826831116e+00
1.8210000000e+00,5.4399832261e+00,3.3713511802e-01,5.9519242258e+00
1.8410000000e+00,5.3922233908e+00,3.4395325512e-01,6.0213025202e+00
1.8610000000e+00,5.3445521993e+00,3.5089313583e-01,6.0908207373e+00
1.8810000000e+00,5.2969717509e+00,3.5795781209e-01,6.1604816960e+00
1.9010000000e+00,5.2494842057e+00,3.6515043009e-01,6.2302882939e+00
1.9210000000e+00,5.2020917866e+00,3.7247423362e-01,6.3002435095e+00
1.9410000000e+00,5.1547967811e+00,3.7993256738e-01,6.3703504060e+00
1.9610000000e+00,5.1076015434e+00,3.8752888056e-01,6.4406121331e+00
1.9810000000e+00,5.0605084966e+00,3.9526673045e-01,6.5110319309e+00
2.0010000000e+00,5.0135201349e+00,4.0314978617e-01,6.5816131324e+00
2.0210000000e+00,4.9666390257e+00,4.1118183260e-01,6.6523591669e+00
2.0410000000e+00,4.9198678123e+00,4.1936677437e-01,6.7232735636e+00
2.0610000000e+00,4.8732092158e+00,4.2770863999e-01,6.7943599548e+00
2.0810000000e+00,4.8266660380e+00,4.3621158621e-01,6.8656220793e+00
2.1010000000e+00,4.7802411634e+00,4.4487990236e-01,6.9370637869e+00
2.1210000000e+00,4.7339375625e+00,4.5371801498e-01,7.0086890414e+00
2.1410000000e+00,4.6877582937e+00,4.6273049248e-01,7.0805019253e+00
2.1610000000e+00,4.6417065067e+00,4.7192205004e-01,7.1525066434e+00
2.1810000000e+00,4.5957854446e+00,4.8129755457e-01,7.2247075277e+00
2.2010000000e+00,4.5499984474e+00,4.9086202989e-01,7.2971090416e+00
2.2210000000e+00,4.5043489546e+00,5.0062066200e-01,7.3697157843e+00
