tau,r,phi,t
1.6010000000e+00,1.5306874331e+00,1.0893999389e+00,1.1985216153e+01
1.6210000000e+00,1.4348934469e+00,1.1804578759e+00,1.2327976977e+01
1.6410000000e+00,1.3387207790e+00,1.2845661185e+00,1.2728669999e+01
1.6610000000e+00,1.2414489788e+00,1.4048816535e+00,1.3227375882e+01
1.6810000000e+00,1.1418648034e+00,1.5459061579e+00,1.3932535500e+01
1.7010000000e+00,1.0378519576e+00,1.7145166965e+00,1.5449546308e+01
1.7210000000e+00,9.2546701982e-01,1.9223407715e+00,7.5659970333e+00
1.7410000000e+00,7.9641737144e-01,2.1924537589e+00,6.7974233304e+00
1.7610000000e+00,6.2836842150e-01,2.5863678224e+00,6.5027656466e+00
1.7810000000e+00,2.8061498716e-01,3.5350230083e+00,6.3877268332e+00
