tau,r,phi,t
2.0000000000e-02,1.0000000013e+01,5.9999838681e-04,2.2043724294e-02
4.0000000000e-02,1.0000000026e+01,1.1999967720e-03,4.4087448585e-02
6.0000000000e-02,1.0000000040e+01,1.7999951556e-03,6.6131172873e-02
8.0000000000e-02,1.0000000053e+01,2.3999935377e-03,8.8174897157e-02
1.0000000000e-01,1.0000000066e+01,2.9999919181e-03,1.1021862144e-01
1.2000000000e-01,1.0000000079e+01,3.5999902970e-03,1.3226234572e-01
1.4000000000e-01,1.0000000093e+01,4.1999886743e-03,1.5430606999e-01
1.6000000000e-01,1.0000000106e+01,4.7999870499e-03,1.7634979426e-01
1.8000000000e-01,1.0000000119e+01,5.3999854240e-03,1.9839351853e-01
2.0000000000e-01,1.0000000132e+01,5.9999837965e-03,2.2043724280e-01
2.2000000000e-01,1.0000000146e+01,6.5999821674e-03,2.4248096706e-01
2.4000000000e-01,1.0000000159e+01,7.1999805367e-03,2.6452469132e-01
2.6000000000e-01,1.0000000172e+01,7.7999789045e-03,2.8656841557e-01
2.8000000000e-01,1.0000000185e+01,8.3999772706e-03,3.0861213982e-01
3.0000000000e-01,1.0000000199e+01,8.9999756351e-03,3.3065586407e-01
3.2000000000e-01,1.0000000212e+01,9.5999739981e-03,3.5269958832e-01
3.4000000000e-01,1.0000000225e+01,1.0199972359e-02,3.7474331256e-01
3.6000000000e-01,1.0000000238e+01,1.0799970719e-02,3.9678703680e-01
3.8000000000e-01,1.0000000252e+01,1.1399969077e-02,4.1883076104e-01
4.0000000000e-01,1.0000000265e+01,1.1999967434e-02,4.4087448527e-01
4.2000000000e-01,1.0000000278e+01,1.2599965789e-02,4.6291820950e-01
4.4000000000e-01,1.0000000291e+01,1.3199964142e-02,4.8496193372e-01
4.6000000000e-01,1.0000000305e+01,1.3799962494e-02,5.0700565795e-01
4.8000000000e-01,1.0000000318e+01,1.4399960845e-02,5.2904938217e-01
5.0000000000e-01,1.0000000331e+01,1.4999959193e-02,5.5109310638e-01
5.2000000000e-01,1.0000000344e+01,1.5599957540e-02,5.7313683060e-01
5.4000000000e-01,1.0000000358e+01,1.6199955886e-02,5.9518055480e-01
5.6000000000e-01,1.0000000371e+01,1.6799954230e-02,6.1722427901e-01
5.8000000000e-01,1.0000000384e+01,1.7399952572e-02,6.3926800321e-01
6.0000000000e-01,1.0000000397e+01,1.7999950913e-02,6.6131172741e-01
6.2000000000e-01,1.0000000411e+01,1.8599949252e-02,6.8335545161e-01
6.4000000000e-01,1.0000000424e+01,1.9199947589e-02,7.0539917581e-01
6.6000000000e-01,1.0000000437e+01,1.9799945925e-02,7.2744290000e-01
6.8000000000e-01,1.0000000450e+01,2.0399944259e-02,7.4948662418e-01
7.0000000000e-01,1.0000000464e+01,2.0999942592e-02,7.7153034837e-01
7.2000000000e-01,1.0000000477e+01,2.1599940923e-02,7.9357407255e-01
7.4000000000e-01,1.0000000490e+01,2.2199939253e-02,8.1561779672e-01
7.6000000000e-01,1.0000000503e+01,2.2799937581e-02,8.3766152090e-01
7.8000000000e-01,1.0000000517e+01,2.3399935907e-02,8.5970524507e-01
8.0000000000e-01,1.0000000530e+01,2.3999934232e-02,8.8174896924e-01
8.2000000000e-01,1.0000000543e+01,2.4599932555e-02,9.0379269340e-01
8.4000000000e-01,1.0000000556e+01,2.5199930877e-02,9.2583641756e-01
8.6000000000e-01,1.0000000570e+01,2.5799929197e-02,9.4788014172e-01
8.8000000000e-01,1.0000000583e+01,2.6399927515e-02,9.6992386588e-01
9.0000000000e-01,1.0000000596e+01,2.6999925832e-02,9.9196759003e-01
9.2000000000e-01,1.0000000609e+01,2.7599924147e-02,1.0140113142e+00
9.4000000000e-01,1.0000000623e+01,2.8199922461e-02,1.0360550383e+00
9.6000000000e-01,1.0000000636e+01,2.8799920773e-02,1.0580987625e+00
9.8000000000e-01,1.0000000649e+01,2.9399919084e-02,1.0801424866e+00
1.0000000000e+00,1.0000000662e+01,2.9999917393e-02,1.1021862107e+00
1.0210000000e+00,1.0000000676e+01,3.0629915615e-02,1.1253321211e+00
1.0410000000e+00,1.0000000690e+01,3.1229913921e-02,1.1473758452e+00
1.0610000000e+00,1.0000000703e+01,3.1829912225e-02,1.1694195693e+00
1.0810000000e+00,1.0000000716e+01,3.2429910527e-02,1.1914632934e+00
1.1010000000e+00,1.0000000729e+01,3.3029908828e-02,1.2135070176e+00
1.1210000000e+00,1.0000000743e+01,3.3629907127e-02,1.2355507417e+00
1.1410000000e+00,1.0000000756e+01,3.4229905425e-02,1.2575944658e+00
1.1610000000e+00,1.0000000769e+01,3.4829903721e-02,1.2796381899e+00
1.1810000000e+00,1.0000000782e+01,3.5429902016e-02,1.3016819140e+00
1.2010000000e+00,1.0000000796e+01,3.6029900309e-02,1.3237256381e+00
1.2210000000e+00,1.0000000809e+01,3.6629898600e-02,1.3457693622e+00
1.2410000000e+00,1.0000000822e+01,3.7229896890e-02,1.3678130863e+00
1.2610000000e+00,1.0000000835e+01,3.7829895178e-02,1.3898568104e+00
1.2810000000e+00,1.0000000849e+01,3.8429893464e-02,1.4119005345e+00
1.3010000000e+00,1.0000000862e+01,3.9029891749e-02,1.4339442586e+00
1.3210000000e+00,1.0000000875e+01,3.9629890033e-02,1.4559879827e+00
1.3410000000e+00,1.0000000888e+01,4.0229888315e-02,1.4780317067e+00
1.3610000000e+00,1.0000000902e+01,4.0829886595e-02,1.5000754308e+00
1.3810000000e+00,1.0000000915e+01,4.1429884873e-02,1.5221191549e+00
1.4010000000e+00,1.0000000928e+01,4.2029883150e-02,1.5441628790e+00
1.4210000000e+00,1.0000000941e+01,4.2629881426e-02,1.5662066030e+00
1.4410000000e+00,1.0000000955e+01,4.3229879700e-02,1.5882503271e+00
1.4610000000e+00,1.0000000968e+01,4.3829877972e-02,1.6102940512e+00
1.4810000000e+00,1.0000000981e+01,4.4429876243e-02,1.6323377752e+00
1.5010000000e+00,1.0000000994e+01,4.5029874512e-02,1.6543814993e+00
1.5210000000e+00,1.0000001008e+01,4.5629872779e-02,1.6764252233e+00
1.5410000000e+00,1.0000001021e+01,4.6229871045e-02,1.6984689474e+00
1.5610000000e+00,1.0000001034e+01,4.6829869309e-02,1.7205126714e+00
1.5810000000e+00,1.0000001047e+01,4.7429867572e-02,1.7425563954e+00
1.6010000000e+00,1.0000001061e+01,4.8029865833e-02,1.7646001195e+00
1.6210000000e+00,1.0000001074e+01,4.8629864093e-02,1.7866438435e+00
1.6410000000e+00,1.0000001087e+01,4.9229862351e-02,1.8086875676e+00
1.6610000000e+00,1.0000001100e+01,4.9829860607e-02,1.8307312916e+00
1.6810000000e+00,1.0000001114e+01,5.0429858862e-02,1.8527750156e+00
1.7010000000e+00,1.0000001127e+01,5.1029857115e-02,1.8748187396e+00
1.7210000000e+00,1.0000001140e+01,5.1629855366e-02,1.8968624636e+00
1.7410000000e+00,1.0000001153e+01,5.2229853616e-02,1.9189061877e+00
1.7610000000e+00,1.0000001167e+01,5.2829851865e-02,1.9409499117e+00
1.7810000000e+00,1.0000001180e+01,5.3429850112e-02,1.9629936357e+00
1.8010000000e+00,1.0000001193e+01,5.4029848357e-02,1.9850373597e+00
1.8210000000e+00,1.0000001206e+01,5.4629846600e-02,2.0070810837e+00
1.8410000000e+00,1.0000001220e+01,5.5229844843e-02,2.0291248077e+00
1.8610000000e+00,1.0000001233e+01,5.5829843083e-02,2.0511685317e+00
1.8810000000e+00,1.0000001246e+01,5.6429841322e-02,2.0732122557e+00
1.9010000000e+00,1.0000001259e+01,5.7029839559e-02,2.0952559797e+00
1.9210000000e+00,1.0000001273e+01,5.7629837795e-02,2.1172997036e+00
1.9410000000e+00,1.0000001286e+01,5.8229836029e-02,2.1393434276e+00
1.9610000000e+00,1.0000001299e+01,5.8829834261e-02,2.1613871516e+00
1.9810000000e+00,1.0000001312e+01,5.9429832492e-02,2.1834308756e+00
2.0010000000e+00,1.0000001326e+01,6.0029830722e-02,2.2054745996e+00
2.0210000000e+00,1.0000001339e+01,6.0629828949e-02,2.2275183235e+00
2.0410000000e+00,1.0000001352e+01,6.1229827175e-02,2.2495620475e+00
2.0610000000e+00,1.0000001365e+01,6.1829825400e-02,2.2716057715e+00
2.0810000000e+00,1.0000001379e+01,6.2429823623e-02,2.2936494954e+00
