tau,r,phi,t,E
9.200000000000007e-01,1.019797701942584e+01,2.654240649732002e-02,1.009777747955869e+00,-1.000254925434358e-02
9.400000000000007e-01,1.019802266728497e+01,2.711933401684858e-02,1.031729269943117e+00,-1.000266017831261e-02
9.600000000000007e-01,1.019806928713146e+01,2.769625631658707e-02,1.053680781134093e+00,-1.000277346191581e-02
9.800000000000008e-01,1.019811687894549e+01,2.827317328663471e-02,1.075632281301447e+00,-1.000288910496040e-02
1.000000000000001e+00,1.019816544270680e+01,2.885008481709756e-02,1.097583770217839e+00,-1.000300710724960e-02
1.019999999999998e+00,1.019821497839472e+01,2.942699079808866e-02,1.119535247655942e+00,-1.000312746858261e-02
1.039999999999996e+00,1.019826548598819e+01,3.000389111972819e-02,1.141486713388441e+00,-1.000325018875461e-02
1.059999999999994e+00,1.019831696546570e+01,3.058078567214357e-02,1.163438167188032e+00,-1.000337526755679e-02
1.079999999999992e+00,1.019836941680535e+01,3.115767434546961e-02,1.185389608827425e+00,-1.000350270477632e-02
1.099999999999990e+00,1.019842283998483e+01,3.173455702984868e-02,1.207341038079344e+00,-1.000363250019639e-02
1.119999999999987e+00,1.019847723498140e+01,3.231143361543082e-02,1.229292454716524e+00,-1.000376465359615e-02
1.139999999999985e+00,1.019853260177192e+01,3.288830399237393e-02,1.251243858511713e+00,-1.000389916475078e-02
1.159999999999983e+00,1.019858894033284e+01,3.346516805084383e-02,1.273195249237676e+00,-1.000403603343142e-02
1.179999999999981e+00,1.019864625064018e+01,3.404202568101446e-02,1.295146626667188e+00,-1.000417525940525e-02
1.199999999999979e+00,1.019870453266956e+01,3.461887677306802e-02,1.317097990573040e+00,-1.000431684243542e-02
1.219999999999976e+00,1.019876378639619e+01,3.519572121719505e-02,1.339049340728036e+00,-1.000446078228108e-02
1.239999999999974e+00,1.019882401179486e+01,3.577255890359468e-02,1.361000676904998e+00,-1.000460707869739e-02
1.259999999999972e+00,1.019888520883995e+01,3.634938972247467e-02,1.382951998876760e+00,-1.000475573143550e-02
1.279999999999970e+00,1.019894737750542e+01,3.692621356405159e-02,1.404903306416170e+00,-1.000490674024258e-02
1.299999999999968e+00,1.019901051776483e+01,3.750303031855091e-02,1.426854599296094e+00,-1.000506010486179e-02
1.319999999999965e+00,1.019907462959133e+01,3.807983987620731e-02,1.448805877289410e+00,-1.000521582503232e-02
1.339999999999963e+00,1.019913971295764e+01,3.865664212726457e-02,1.470757140169016e+00,-1.000537390048928e-02
1.359999999999961e+00,1.019920576783607e+01,3.923343696197592e-02,1.492708387707824e+00,-1.000553433096390e-02
1.379999999999959e+00,1.019927279419854e+01,3.981022427060406e-02,1.514659619678761e+00,-1.000569711618337e-02
1.399999999999957e+00,1.019934079201653e+01,4.038700394342135e-02,1.536610835854772e+00,-1.000586225587083e-02
1.419999999999954e+00,1.019940976126112e+01,4.096377587070996e-02,1.558562036008819e+00,-1.000602974974553e-02
1.439999999999952e+00,1.019947970190299e+01,4.154053994276196e-02,1.580513219913881e+00,-1.000619959752265e-02
1.459999999999950e+00,1.019955061391238e+01,4.211729604987947e-02,1.602464387342952e+00,-1.000637179891343e-02
1.479999999999948e+00,1.019962249725915e+01,4.269404408237490e-02,1.624415538069046e+00,-1.000654635362508e-02
1.499999999999946e+00,1.019969535191271e+01,4.327078393057091e-02,1.646366671865194e+00,-1.000672326136089e-02
1.519999999999943e+00,1.019976917784209e+01,4.384751548480074e-02,1.668317788504444e+00,-1.000690252182006e-02
1.539999999999941e+00,1.019984397501590e+01,4.442423863540818e-02,1.690268887759863e+00,-1.000708413469790e-02
1.559999999999939e+00,1.019991974340232e+01,4.500095327274785e-02,1.712219969404535e+00,-1.000726809968570e-02
1.579999999999937e+00,1.019999648296915e+01,4.557765928718525e-02,1.734171033211566e+00,-1.000745441647075e-02
1.599999999999935e+00,1.020007419368375e+01,4.615435656909696e-02,1.756122078954077e+00,-1.000764308473638e-02
1.619999999999932e+00,1.020015287551308e+01,4.673104500887071e-02,1.778073106405210e+00,-1.000783410416194e-02
1.639999999999930e+00,1.020023252842369e+01,4.730772449690557e-02,1.800024115338127e+00,-1.000802747442280e-02
1.659999999999928e+00,1.020031315238171e+01,4.788439492361211e-02,1.821975105526009e+00,-1.000822319519034e-02
1.679999999999926e+00,1.020039474735288e+01,4.846105617941247e-02,1.843926076742055e+00,-1.000842126613198e-02
1.699999999999924e+00,1.020047731330250e+01,4.903770815474056e-02,1.865877028759487e+00,-1.000862168691115e-02
1.719999999999921e+00,1.020056085019546e+01,4.961435074004217e-02,1.887827961351545e+00,-1.000882445718729e-02
1.739999999999919e+00,1.020064535799627e+01,5.019098382577512e-02,1.909778874291492e+00,-1.000902957661589e-02
1.759999999999917e+00,1.020073083666899e+01,5.076760730240941e-02,1.931729767352609e+00,-1.000923704484850e-02
1.779999999999915e+00,1.020081728617730e+01,5.134422106042736e-02,1.953680640308199e+00,-1.000944686153261e-02
1.799999999999913e+00,1.020090470648445e+01,5.192082499032368e-02,1.975631492931588e+00,-1.000965902631185e-02
1.819999999999910e+00,1.020099309755328e+01,5.249741898260571e-02,1.997582324996121e+00,-1.000987353882578e-02
1.839999999999908e+00,1.020108245934624e+01,5.307400292779354e-02,2.019533136275165e+00,-1.001009039871008e-02
1.859999999999906e+00,1.020117279182533e+01,5.365057671642007e-02,2.041483926542112e+00,-1.001030960559636e-02
1.879999999999904e+00,1.020126409495217e+01,5.422714023903123e-02,2.063434695570374e+00,-1.001053115911238e-02
1.899999999999902e+00,1.020135636868795e+01,5.480369338618609e-02,2.085385443133383e+00,-1.001075505888187e-02
1.919999999999899e+00,1.020144961299348e+01,5.538023604845700e-02,2.107336169004599e+00,-1.001098130452459e-02
1.939999999999897e+00,1.020154382782912e+01,5.595676811642977e-02,2.129286872957501e+00,-1.001120989565640e-02
1.959999999999895e+00,1.020163901315485e+01,5.653328948070370e-02,2.151237554765590e+00,-1.001144083188915e-02
1.979999999999893e+00,1.020173516893022e+01,5.710980003189186e-02,2.173188214202396e+00,-1.001167411283073e-02
1.999999999999891e+00,1.020183229511437e+01,5.768629966062117e-02,2.195138851041468e+00,-1.001190973808510e-02
2.019999999999889e+00,1.020193039166604e+01,5.826278825753241e-02,2.217089465056380e+00,-1.001214770725224e-02
2.039999999999886e+00,1.020202945854355e+01,5.883926571328062e-02,2.239040056020732e+00,-1.001238801992821e-02
2.059999999999884e+00,1.020212949570483e+01,5.941573191853503e-02,2.260990623708144e+00,-1.001263067570510e-02
2.079999999999882e+00,1.020223050310737e+01,5.999218676397925e-02,2.282941167892266e+00,-1.001287567417103e-02
2.099999999999880e+00,1.020233248070827e+01,6.056863014031149e-02,2.304891688346768e+00,-1.001312301491021e-02
2.119999999999878e+00,1.020243542846421e+01,6.114506193824456e-02,2.326842184845348e+00,-1.001337269750287e-02
2.139999999999875e+00,1.020253934633146e+01,6.172148204850615e-02,2.348792657161729e+00,-1.001362472152530e-02
2.159999999999873e+00,1.020264423426589e+01,6.229789036183887e-02,2.370743105069659e+00,-1.001387908654985e-02
2.179999999999871e+00,1.020275009222295e+01,6.287428676900038e-02,2.392693528342910e+00,-1.001413579214494e-02
2.199999999999869e+00,1.020285692015768e+01,6.345067116076365e-02,2.414643926755285e+00,-1.001439483787502e-02
2.219999999999867e+00,1.020296471802472e+01,6.402704342791697e-02,2.436594300080607e+00,-1.001465622330063e-02
2.239999999999864e+00,1.020307348577829e+01,6.460340346126416e-02,2.458544648092730e+00,-1.001491994797836e-02
2.259999999999862e+00,1.020318322337221e+01,6.517975115162465e-02,2.480494970565536e+00,-1.001518601146086e-02
2.279999999999860e+00,1.020329393075987e+01,6.575608638983366e-02,2.502445267272927e+00,-1.001545441329685e-02
2.299999999999858e+00,1.020340560789428e+01,6.633240906674231e-02,2.524395537988839e+00,-1.001572515303109e-02
2.319999999999856e+00,1.020351825472802e+01,6.690871907321792e-02,2.546345782487231e+00,-1.001599823020446e-02
2.339999999999853e+00,1.020363187121326e+01,6.748501630014384e-02,2.568296000542094e+00,-1.001627364435385e-02
2.359999999999851e+00,1.020374645730177e+01,6.806130063841984e-02,2.590246191927444e+00,-1.001655139501228e-02
2.379999999999849e+00,1.020386201294492e+01,6.863757197896211e-02,2.612196356417325e+00,-1.001683148170881e-02
2.399999999999847e+00,1.020397853809365e+01,6.921383021270353e-02,2.634146493785810e+00,-1.001711390396859e-02
2.419999999999844e+00,1.020409603269848e+01,6.979007523059362e-02,2.656096603807002e+00,-1.001739866131280e-02
2.439999999999842e+00,1.020421449670957e+01,7.036630692359892e-02,2.678046686255031e+00,-1.001768575325877e-02
2.459999999999840e+00,1.020433393007663e+01,7.094252518270291e-02,2.699996740904058e+00,-1.001797517931985e-02
2.479999999999838e+00,1.020445433274897e+01,7.151872989890629e-02,2.721946767528269e+00,-1.001826693900552e-02
2.499999999999836e+00,1.020457570467549e+01,7.209492096322698e-02,2.743896765901885e+00,-1.001856103182130e-02
2.519999999999833e+00,1.020469804580470e+01,7.267109826670042e-02,2.765846735799155e+00,-1.001885745726883e-02
2.539999999999831e+00,1.020482135608467e+01,7.324726170037964e-02,2.787796676994355e+00,-1.001915621484581e-02
2.559999999999829e+00,1.020494563546309e+01,7.382341115533524e-02,2.809746589261797e+00,-1.001945730404606e-02
2.579999999999827e+00,1.020507088388723e+01,7.439954652265585e-02,2.831696472375817e+00,-1.001976072435946e-02
2.599999999999825e+00,1.020519710130395e+01,7.497566769344806e-02,2.853646326110787e+00,-1.002006647527198e-02
2.619999999999822e+00,1.020532428765969e+01,7.555177455883649e-02,2.875596150241108e+00,-1.002037455626571e-02
2.639999999999820e+00,1.020545244290051e+01,7.612786700996414e-02,2.897545944541212e+00,-1.002068496681882e-02
2.659999999999818e+00,1.020558156697205e+01,7.670394493799232e-02,2.919495708785561e+00,-1.002099770640559e-02
