tau,r,phi,t
2.0000000000e-02,9.8818768700e+00,4.0958118193e-04,2.1915341271e-02
4.0000000000e-02,9.8809409192e+00,8.1923994395e-04,4.3830916203e-02
6.0000000000e-02,9.8800046475e+00,1.2289763347e-03,6.5746724924e-02
8.0000000000e-02,9.8790680549e+00,1.6387904029e-03,8.7662767565e-02
1.0000000000e-01,9.8781311415e+00,2.0486821973e-03,1.0957904425e-01
1.2000000000e-01,9.8771939072e+00,2.4586517665e-03,1.3149555512e-01
1.4000000000e-01,9.8762563519e+00,2.8686991595e-03,1.5341230030e-01
1.6000000000e-01,9.8753184758e+00,3.2788244249e-03,1.7532927991e-01
1.8000000000e-01,9.8743802788e+00,3.6890276117e-03,1.9724649409e-01
2.0000000000e-01,9.8734417609e+00,4.0993087687e-03,2.1916394297e-01
2.2000000000e-01,9.8725029221e+00,4.5096679448e-03,2.4108162667e-01
2.4000000000e-01,9.8715637623e+00,4.9201051890e-03,2.6299954533e-01
2.6000000000e-01,9.8706242816e+00,5.3306205503e-03,2.8491769908e-01
2.8000000000e-01,9.8696844800e+00,5.7412140776e-03,3.0683608805e-01
3.0000000000e-01,9.8687443575e+00,6.1518858200e-03,3.2875471237e-01
3.2000000000e-01,9.8678039140e+00,6.5626358265e-03,3.5067357216e-01
3.4000000000e-01,9.8668631496e+00,6.9734641463e-03,3.7259266756e-01
3.6000000000e-01,9.8659220642e+00,7.3843708285e-03,3.9451199870e-01
3.8000000000e-01,9.8649806578e+00,7.7953559222e-03,4.1643156571e-01
4.0000000000e-01,9.8640389305e+00,8.2064194767e-03,4.3835136872e-01
4.2000000000e-01,9.8630968822e+00,8.6175615411e-03,4.6027140785e-01
4.4000000000e-01,9.8621545129e+00,9.0287821648e-03,4.8219168325e-01
4.6000000000e-01,9.8612118227e+00,9.4400813970e-03,5.0411219505e-01
4.8000000000e-01,9.8602688114e+00,9.8514592871e-03,5.2603294336e-01
5.0000000000e-01,9.8593254792e+00,1.0262915884e-02,5.4795392833e-01
5.2000000000e-01,9.8583818260e+00,1.0674451238e-02,5.6987515008e-01
5.4000000000e-01,9.8574378517e+00,1.1086065398e-02,5.9179660875e-01
5.6000000000e-01,9.8564935564e+00,1.1497758414e-02,6.1371830446e-01
5.8000000000e-01,9.8555489401e+00,1.1909530334e-02,6.3564023735e-01
6.0000000000e-01,9.8546040028e+00,1.2321381209e-02,6.5756240755e-01
6.2000000000e-01,9.8536587445e+00,1.2733311088e-02,6.7948481519e-01
6.4000000000e-01,9.8527131651e+00,1.3145320020e-02,7.0140746040e-01
6.6000000000e-01,9.8517672647e+00,1.3557408056e-02,7.2333034332e-01
6.8000000000e-01,9.8508210432e+00,1.3969575244e-02,7.4525346407e-01
7.0000000000e-01,9.8498745007e+00,1.4381821635e-02,7.6717682279e-01
7.2000000000e-01,9.8489276371e+00,1.4794147279e-02,7.8910041960e-01
7.4000000000e-01,9.8479804525e+00,1.5206552224e-02,8.1102425464e-01
7.6000000000e-01,9.8470329467e+00,1.5619036521e-02,8.3294832805e-01
7.8000000000e-01,9.8460851199e+00,1.6031600220e-02,8.5487263995e-01
8.0000000000e-01,9.8451369721e+00,1.6444243370e-02,8.7679719047e-01
8.2000000000e-01,9.8441885031e+00,1.6856966022e-02,8.9872197975e-01
8.4000000000e-01,9.8432397130e+00,1.7269768224e-02,9.2064700792e-01
8.6000000000e-01,9.8422906019e+00,1.7682650028e-02,9.4257227511e-01
8.8000000000e-01,9.8413411696e+00,1.8095611483e-02,9.6449778146e-01
9.0000000000e-01,9.8403914162e+00,1.8508652640e-02,9.8642352709e-01
9.2000000000e-01,9.8394413417e+00,1.8921773547e-02,1.0083495121e+00
9.4000000000e-01,9.8384909461e+00,1.9334974256e-02,1.0302757367e+00
9.6000000000e-01,9.8375402293e+00,1.9748254816e-02,1.0522022010e+00
9.8000000000e-01,9.8365891914e+00,2.0161615277e-02,1.0741289051e+00
1.0000000000e+00,9.8356378324e+00,2.0575055690e-02,1.0960558492e+00
1.0210000000e+00,9.8346385598e+00,2.1009254227e-02,1.1190793988e+00
1.0410000000e+00,9.8336865424e+00,2.1422858698e-02,1.1410068352e+00
1.0610000000e+00,9.8327342039e+00,2.1836543274e-02,1.1629345119e+00
1.0810000000e+00,9.8317815442e+00,2.2250308005e-02,1.1848624291e+00
1.1010000000e+00,9.8308285633e+00,2.2664152942e-02,1.2067905869e+00
1.1210000000e+00,9.8298752613e+00,2.3078078135e-02,1.2287189854e+00
1.1410000000e+00,9.8289216380e+00,2.3492083634e-02,1.2506476249e+00
1.1610000000e+00,9.8279676936e+00,2.3906169489e-02,1.2725765054e+00
1.1810000000e+00,9.8270134280e+00,2.4320335752e-02,1.2945056270e+00
1.2010000000e+00,9.8260588412e+00,2.4734582473e-02,1.3164349899e+00
1.2210000000e+00,9.8251039332e+00,2.5148909702e-02,1.3383645942e+00
1.2410000000e+00,9.8241487040e+00,2.5563317489e-02,1.3602944401e+00
1.2610000000e+00,9.8231931536e+00,2.5977805886e-02,1.3822245277e+00
1.2810000000e+00,9.8222372820e+00,2.6392374943e-02,1.4041548570e+00
1.3010000000e+00,9.8212810891e+00,2.6807024711e-02,1.4260854284e+00
1.3210000000e+00,9.8203245751e+00,2.7221755241e-02,1.4480162418e+00
1.3410000000e+00,9.8193677397e+00,2.7636566582e-02,1.4699472974e+00
1.3610000000e+00,9.8184105832e+00,2.8051458787e-02,1.4918785954e+00
1.3810000000e+00,9.8174531054e+00,2.8466431905e-02,1.5138101359e+00
1.4010000000e+00,9.8164953063e+00,2.8881485987e-02,1.5357419190e+00
