tau,r,phi,t
2.0000000000e-02,9.9747097982e+00,2.0050714020e-03,3.8495436563e-02
4.0000000000e-02,9.9494357133e+00,4.0203328350e-03,7.7001746521e-02
6.0000000000e-02,9.9241778634e+00,6.0458555828e-03,1.1551898438e-01
8.0000000000e-02,9.8989363674e+00,8.0817115244e-03,1.5404720500e-01
1.0000000000e-01,9.8737113454e+00,1.0127973140e-02,1.9258646359e-01
1.2000000000e-01,9.8485029185e+00,1.2184713513e-02,2.3113681572e-01
1.4000000000e-01,9.8233112092e+00,1.4252006342e-02,2.6969831732e-01
1.6000000000e-01,9.7981363406e+00,1.6329925940e-02,3.0827102469e-01
1.8000000000e-01,9.7729784372e+00,1.8418547240e-02,3.4685499447e-01
2.0000000000e-01,9.7478376248e+00,2.0517945805e-02,3.8545028370e-01
2.2000000000e-01,9.7227140300e+00,2.2628197830e-02,4.2405694975e-01
2.4000000000e-01,9.6976077806e+00,2.4749380147e-02,4.6267505040e-01
2.6000000000e-01,9.6725190059e+00,2.6881570234e-02,5.0130464378e-01
2.8000000000e-01,9.6474478360e+00,2.9024846217e-02,5.3994578840e-01
3.0000000000e-01,9.6223944023e+00,3.1179286876e-02,5.7859854316e-01
3.2000000000e-01,9.5973588375e+00,3.3344971654e-02,6.1726296732e-01
3.4000000000e-01,9.5723412754e+00,3.5521980658e-02,6.5593912055e-01
3.6000000000e-01,9.5473418511e+00,3.7710394669e-02,6.9462706288e-01
3.8000000000e-01,9.5223607008e+00,3.9910295144e-02,7.3332685474e-01
4.0000000000e-01,9.4973979621e+00,4.2121764225e-02,7.7203855697e-01
4.2000000000e-01,9.4724537738e+00,4.4344884743e-02,8.1076223076e-01
4.4000000000e-01,9.4475282761e+00,4.6579740223e-02,8.4949793773e-01
4.6000000000e-01,9.4226216101e+00,4.8826414894e-02,8.8824573990e-01
4.8000000000e-01,9.3977339188e+00,5.1084993689e-02,9.2700569966e-01
5.0000000000e-01,9.3728653459e+00,5.3355562256e-02,9.6577787983e-01
5.2000000000e-01,9.3480160369e+00,5.5638206961e-02,1.0045623436e+00
5.4000000000e-01,9.3231861384e+00,5.7933014896e-02,1.0433591547e+00
5.6000000000e-01,9.2983757984e+00,6.0240073883e-02,1.0821683770e+00
5.8000000000e-01,9.2735851663e+00,6.2559472483e-02,1.1209900751e+00
6.0000000000e-01,9.2488143928e+00,6.4891299999e-02,1.1598243138e+00
6.2000000000e-01,9.2240636302e+00,6.7235646483e-02,1.1986711584e+00
6.4000000000e-01,9.1993330321e+00,6.9592602743e-02,1.2375306745e+00
6.6000000000e-01,9.1746227533e+00,7.1962260351e-02,1.2764029284e+00
6.8000000000e-01,9.1499329505e+00,7.4344711644e-02,1.3152879865e+00
7.0000000000e-01,9.1252637814e+00,7.6740049735e-02,1.3541859159e+00
7.2000000000e-01,9.1006154055e+00,7.9148368518e-02,1.3930967839e+00
7.4000000000e-01,9.0759879836e+00,8.1569762672e-02,1.4320206584e+00
7.6000000000e-01,9.0513816781e+00,8.4004327672e-02,1.4709576077e+00
7.8000000000e-01,9.0267966529e+00,8.6452159791e-02,1.5099077004e+00
8.0000000000e-01,9.0022330734e+00,8.8913356107e-02,1.5488710057e+00
8.2000000000e-01,8.9776911066e+00,9.1388014513e-02,1.5878475933e+00
8.4000000000e-01,8.9531709210e+00,9.3876233720e-02,1.6268375331e+00
8.6000000000e-01,8.9286726867e+00,9.6378113262e-02,1.6658408957e+00
8.8000000000e-01,8.9041965754e+00,9.8893753508e-02,1.7048577519e+00
9.0000000000e-01,8.8797427604e+00,1.0142325566e-01,1.7438881732e+00
9.2000000000e-01,8.8553114168e+00,1.0396672178e-01,1.7829322313e+00
9.4000000000e-01,8.8309027210e+00,1.0652425476e-01,1.8219899987e+00
9.6000000000e-01,8.8065168514e+00,1.0909595836e-01,1.8610615479e+00
9.8000000000e-01,8.7821539880e+00,1.1168193720e-01,1.9001469523e+00
1.0000000000e+00,8.7578143122e+00,1.1428229678e-01,1.9392462856e+00
1.0210000000e+00,8.7322828092e+00,1.1702826802e-01,1.9803156575e+00
1.0410000000e+00,8.7079912435e+00,1.1965844163e-01,2.0194437771e+00
1.0610000000e+00,8.6837234302e+00,1.2230332318e-01,2.0585860532e+00
1.0810000000e+00,8.6594795581e+00,1.2496302176e-01,2.0977425612e+00
1.1010000000e+00,8.6352598175e+00,1.2763764737e-01,2.1369133772e+00
1.1210000000e+00,8.6110644009e+00,1.3032731090e-01,2.1760985777e+00
1.1410000000e+00,8.5868935023e+00,1.3303212417e-01,2.2152982399e+00
1.1610000000e+00,8.5627473176e+00,1.3575219993e-01,2.2545124410e+00
1.1810000000e+00,8.5386260448e+00,1.3848765184e-01,2.2937412591e+00
1.2010000000e+00,8.5145298834e+00,1.4123859453e-01,2.3329847726e+00
1.2210000000e+00,8.4904590352e+00,1.4400514353e-01,2.3722430605e+00
1.2410000000e+00,8.4664137035e+00,1.4678741535e-01,2.4115162022e+00
1.2610000000e+00,8.4423940939e+00,1.4958552745e-01,2.4508042775e+00
1.2810000000e+00,8.4184004138e+00,1.5239959825e-01,2.4901073670e+00
1.3010000000e+00,8.3944328725e+00,1.5522974713e-01,2.5294255513e+00
1.3210000000e+00,8.3704916815e+00,1.5807609446e-01,2.5687589121e+00
1.3410000000e+00,8.3465770541e+00,1.6093876158e-01,2.6081075310e+00
1.3610000000e+00,8.3226892057e+00,1.6381787083e-01,2.6474714906e+00
1.3810000000e+00,8.2988283540e+00,1.6671354554e-01,2.6868508737e+00
1.4010000000e+00,8.2749947183e+00,1.6962591003e-01,2.7262457636e+00
1.4210000000e+00,8.2511885206e+00,1.7255508964e-01,2.7656562444e+00
1.4410000000e+00,8.2274099844e+00,1.7550121071e-01,2.8050824002e+00
1.4610000000e+00,8.2036593357e+00,1.7846440061e-01,2.8445243161e+00
1.4810000000e+00,8.1799368027e+00,1.8144478774e-01,2.8839820775e+00
1.5010000000e+00,8.1562426157e+00,1.8444250152e-01,2.9234557702e+00
1.5210000000e+00,8.1325770070e+00,1.8745767240e-01,2.9629454807e+00
1.5410000000e+00,8.1089402115e+00,1.9049043189e-01,3.0024512959e+00
1.5610000000e+00,8.0853324661e+00,1.9354091255e-01,3.0419733033e+00
1.5810000000e+00,8.0617540100e+00,1.9660924798e-01,3.0815115907e+00
1.6010000000e+00,8.0382050847e+00,1.9969557284e-01,3.1210662467e+00
1.6210000000e+00,8.0146859342e+00,2.0280002287e-01,3.1606373603e+00
1.6410000000e+00,7.9911968046e+00,2.0592273488e-01,3.2002250209e+00
1.6610000000e+00,7.9677379444e+00,2.0906384674e-01,3.2398293185e+00
1.6810000000e+00,7.9443096046e+00,2.1222349743e-01,3.2794503438e+00
1.7010000000e+00,7.9209120385e+00,2.1540182698e-01,3.3190881876e+00
1.7210000000e+00,7.8975455019e+00,2.1859897655e-01,3.3587429417e+00
1.7410000000e+00,7.8742102531e+00,2.2181508837e-01,3.3984146980e+00
1.7610000000e+00,7.8509065527e+00,2.2505030579e-01,3.4381035492e+00
1.7810000000e+00,7.8276346639e+00,2.2830477325e-01,3.4778095884e+00
1.8010000000e+00,7.8043948526e+00,2.3157863633e-01,3.5175329092e+00
1.8210000000e+00,7.7811873869e+00,2.3487204171e-01,3.5572736057e+00
1.8410000000e+00,7.7580125379e+00,2.3818513717e-01,3.5970317727e+00
1.8610000000e+00,7.7348705788e+00,2.4151807164e-01,3.6368075052e+00
1.8810000000e+00,7.7117617859e+00,2.4487099519e-01,3.6766008991e+00
1.9010000000e+00,7.6886864378e+00,2.4824405899e-01,3.7164120505e+00
1.9210000000e+00,7.6656448161e+00,2.5163741537e-01,3.7562410562e+00
1.9410000000e+00,7.6426372047e+00,2.5505121779e-01,3.7960880133e+00
1.9610000000e+00,7.6196638907e+00,2.5848562085e-01,3.8359530197e+00
1.9810000000e+00,7.5967251634e+00,2.6194078033e-01,3.8758361736e+00
2.0010000000e+00,7.5738213154e+00,2.6541685310e-01,3.9157375738e+00
2.0210000000e+00,7.5509526418e+00,2.6891399724e-01,3.9556573196e+00
2.0410000000e+00,7.5281194406e+00,2.7243237195e-01,3.9955955108e+00
2.0610000000e+00,7.5053220127e+00,2.7597213760e-01,4.0355522477e+00
2.0810000000e+00,7.4825606618e+00,2.7953345571e-01,4.0755276311e+00
2.1010000000e+00,7.4598356945e+00,2.8311648899e-01,4.1155217622e+00
2.1210000000e+00,7.4371474204e+00,2.8672140127e-01,4.1555347430e+00
2.1410000000e+00,7.4144961521e+00,2.9034835757e-01,4.1955666756e+00
2.1610000000e+00,7.3918822050e+00,2.9399752408e-01,4.2356176630e+00
2.1810000000e+00,7.3693058977e+00,2.9766906815e-01,4.2756878083e+00
2.2010000000e+00,7.3467675518e+00,3.0136315827e-01,4.3157772154e+00
2.2210000000e+00,7.3242674919e+00,3.0507996415e-01,4.3558859885e+00
2.2410000000e+00,7.3018060457e+00,3.0881965662e-01,4.3960142324e+00
2.2610000000e+00,7.2793835441e+00,3.1258240769e-01,4.4361620523e+00
2.2810000000e+00,7.2570003211e+00,3.1636839055e-01,4.4763295538e+00
2.3010000000e+00,7.2346567138e+00,3.2017777954e-01,4.5165168432e+00
2.3210000000e+00,7.2123530626e+00,3.2401075017e-01,4.5567240270e+00
2.3410000000e+00,7.1900897111e+00,3.2786747909e-01,4.5969512124e+00
2.3610000000e+00,7.1678670062e+00,3.3174814414e-01,4.6371985069e+00
2.3810000000e+00,7.1456852979e+00,3.3565292430e-01,4.6774660185e+00
2.4010000000e+00,7.1235449398e+00,3.3958199970e-01,4.7177538557e+00
2.4210000000e+00,7.1014462885e+00,3.4353555162e-01,4.7580621272e+00
2.4410000000e+00,7.0793897044e+00,3.4751376250e-01,4.7983909424e+00
